ticker,DFPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-10,0.5155
2020-06-11,0.1026
2020-06-18,2.2531
2020-06-19,-0.485
2020-06-22,0.4873
2020-06-23,0.3016
2020-06-24,1.5984
2020-06-25,-1.9666000000000001
2020-06-29,1.3039
2020-06-30,-0.495
2020-07-01,5.4726
2020-07-02,2.0896
2020-07-06,-0.1987
2020-07-07,-0.1852
2020-07-08,-2.2727
2020-07-09,2.5154
2020-07-10,0.9259
2020-07-13,-0.1835
2020-07-14,-0.6434
2020-07-16,-1.0176
2020-07-17,0.9346
2020-07-21,-0.0926
2020-07-23,-2.6877
2020-07-24,-0.0952
2020-07-27,0.0
2020-07-28,-0.9533
2020-07-30,-0.77
2020-07-31,-1.3578999999999999
