ticker,PANW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-07-20,26.5
2012-07-23,-3.0491
2012-07-24,7.7461
2012-07-25,6.2162
2012-07-26,1.5776
2012-07-27,-4.8096
2012-07-30,-3.5088
2012-07-31,3.8909000000000002
2012-08-01,-1.6801
2012-08-02,-1.9224
2012-08-03,-0.5626
2012-08-06,-0.0183
2012-08-07,3.6875
2012-08-08,7.2711
2012-08-09,0.6565
2012-08-10,-0.0163
2012-08-13,2.2831
2012-08-14,-4.6556
2012-08-15,4.8997
2012-08-16,6.0099
2012-08-17,1.188
2012-08-20,-2.7047
2012-08-21,-1.7565
2012-08-22,-1.6636
2012-08-23,1.4071
2012-08-24,0.9822
2012-08-27,-1.6674
2012-08-28,0.3297
2012-08-29,1.2989
2012-08-30,-2.0083
2012-08-31,1.4977
2012-09-04,9.0556
2012-09-05,-0.2991
2012-09-06,2.0143
2012-09-07,-0.9382
2012-09-10,1.4278
2012-09-11,-7.1777
2012-09-12,-2.6126
2012-09-13,4.8104
2012-09-14,-1.4563
2012-09-17,1.3733
2012-09-18,1.8700999999999999
2012-09-19,-1.7057
2012-09-20,-4.3382
2012-09-21,-1.5834000000000001
2012-09-24,0.9997
2012-09-25,-0.7578
2012-09-26,-1.4337
2012-09-27,2.8775
2012-09-28,-5.3788
2012-10-01,-1.5754000000000001
2012-10-02,2.3102
2012-10-03,6.2258
2012-10-04,-0.1518
2012-10-05,-5.7178
2012-10-08,0.1129
2012-10-09,-0.1772
2012-10-10,-0.8393
2012-10-11,-0.7813
2012-10-12,3.2808
2012-10-15,4.1137
2012-10-16,0.0305
2012-10-17,-0.1068
2012-10-18,-5.4962
2012-10-19,-3.0372
2012-10-22,-0.0333
2012-10-23,-0.4167
2012-10-24,0.0
2012-10-25,-2.8452
2012-10-26,-3.0146
2012-10-31,-2.3446
2012-11-01,2.2008
2012-11-02,-2.8297
2012-11-05,2.1978
2012-11-06,-0.681
2012-11-07,-2.7427
2012-11-08,-3.5993
2012-11-09,0.077
2012-11-12,0.5769
2012-11-13,1.7017
2012-11-14,-1.504
2012-11-15,-1.8897
2012-11-16,3.5991999999999997
2012-11-19,5.1831
2012-11-20,-2.8388
2012-11-21,1.8927
2012-11-23,-0.0721
2012-11-26,0.8482
2012-11-27,0.2863
2012-11-28,-2.6052999999999997
2012-11-29,2.3635
2012-11-30,-2.5953
2012-12-03,-5.0717
2012-12-04,3.8521
2012-12-05,-2.8891
2012-12-06,-1.5354999999999999
2012-12-07,0.0195
