ticker,VAPO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-14,14.2857
2018-11-15,9.9375
2018-11-16,-3.5816
2018-11-19,1.0613
2018-11-20,-6.7678
2018-11-21,1.0638
2018-11-23,4.3344
2018-11-26,6.8248999999999995
2018-11-27,-0.8889
2018-11-28,1.7377
2018-11-29,2.7548
2018-11-30,-1.3941
2018-12-03,12.2893
2018-12-04,1.6949
2018-12-06,-1.4762
2018-12-07,1.16
2018-12-10,-9.2212
2018-12-11,-0.3684
2018-12-12,-3.0639
2018-12-13,-1.9074
2018-12-14,0.7222
2018-12-17,-2.9233000000000002
2018-12-18,-1.1364
2018-12-19,-2.8736
2018-12-20,-4.3195
2018-12-21,1.979
2018-12-24,-1.1522000000000001
2018-12-26,5.7055
2018-12-27,5.9199
2018-12-28,4.1096
2018-12-31,5.0
2019-01-02,-7.4687
2019-01-03,-5.0379
2019-01-04,2.8523
2019-01-07,-7.4321
2019-01-08,-4.0144
2019-01-09,5.8052
2019-01-10,2.8909000000000002
2019-01-11,-1.6627999999999998
2019-01-14,-2.0408
2019-01-15,-2.0833
2019-01-16,-0.6687
2019-01-17,-0.1836
2019-01-18,0.1226
2019-01-22,0.0612
2019-01-23,-1.0404
2019-01-24,2.6592000000000002
2019-01-25,-1.0843
2019-01-28,-0.9135
2019-01-29,-0.1844
2019-01-30,0.5542
2019-01-31,3.0618
2019-02-01,-0.8318
2019-02-04,-1.1983
2019-02-05,0.7884
2019-02-06,-0.722
2019-02-07,0.6061
2019-02-08,-0.7229
2019-02-11,1.0922
2019-02-12,0.3001
2019-02-13,1.7355
2019-02-14,-2.0588
2019-02-15,-0.9009
2019-02-19,3.3333
2019-02-20,0.8211
2019-02-21,0.0
2019-02-22,4.3629999999999995
2019-02-25,1.4493
2019-02-26,0.989
2019-02-27,5.3863
2019-02-28,0.3614
2019-03-01,5.7613
2019-03-04,-4.6693
2019-03-05,-3.3163
2019-03-06,-0.5277
2019-03-07,0.8488
2019-03-08,5.1552
2019-03-11,1.3007
2019-03-12,-1.9752999999999998
2019-03-13,-1.2091
2019-03-14,1.9888
2019-03-15,0.0
2019-03-18,-0.55
2019-03-19,0.553
2019-03-20,-1.3
2019-03-21,12.31
2019-03-22,-9.7429
2019-03-25,-0.05
2019-03-26,-1.75
2019-03-27,-4.2239
2019-03-28,-0.2657
2019-03-29,4.6883
2019-04-01,0.5089
2019-04-02,0.1519
2019-04-03,0.91
2019-04-04,-3.4569
2019-04-05,3.7364
2019-04-08,0.05
