ticker,HARP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-08,-3.5714
2019-02-11,5.1852
2019-02-12,-0.0704
2019-02-13,-0.8457
2019-02-14,1.6347
2019-02-15,3.4965
2019-02-19,1.8919000000000001
2019-02-20,-2.9840999999999998
2019-02-21,-1.2987
2019-02-22,15.7202
2019-02-25,-14.0634
2019-02-26,1.3231
2019-02-27,3.9175
2019-02-28,0.3307
2019-03-01,6.7897
2019-03-04,5.0
2019-03-05,-7.8777
2019-03-06,-0.7658
2019-03-07,-17.9421
2019-03-08,3.1348
2019-03-11,-11.3982
2019-03-12,0.8576
2019-03-13,-2.0408
2019-03-14,0.8681
2019-03-15,3.7866
2019-03-18,1.8242
2019-03-19,-2.9316
2019-03-20,-1.7617
2019-03-21,-8.8813
2019-03-22,-4.2174
2019-03-25,-1.8591
2019-03-26,-1.5952
2019-03-27,0.4053
2019-03-28,-1.11
2019-03-29,-3.3673
2019-04-01,17.9514
2019-04-02,-0.1791
2019-04-03,-0.2691
2019-04-04,-0.0899
2019-04-05,3.4203
2019-04-08,10.0957
2019-04-09,-1.8182
2019-04-10,1.3688
2019-04-11,-1.112
2019-04-12,3.1325
2019-04-15,-0.8567
2019-04-16,0.1571
2019-04-17,-1.098
2019-04-18,3.3307
2019-04-22,-12.8933
2019-04-23,3.7004
2019-04-24,-4.8428
2019-04-25,0.1786
2019-04-26,0.713
2019-04-29,-1.8584
2019-04-30,5.8611
2019-05-01,-1.1925
2019-05-02,-5.1724
2019-05-03,-3.7273
2019-05-06,-2.644
2019-05-07,0.194
2019-05-08,0.7744
2019-05-09,-2.9779
2019-05-10,2.5743
2019-05-13,-3.4749
2019-05-14,2.4
2019-05-15,-0.293
2019-05-16,4.3095
2019-05-17,7.6056
2019-05-20,-2.9668
2019-05-21,2.518
2019-05-22,1.7544
2019-05-23,-5.1724
2019-05-24,6.4545
2019-05-28,1.7933
2019-05-29,-3.2718
2019-05-30,5.6375
2019-05-31,-1.2315
2019-06-03,-1.5794000000000001
2019-06-04,-2.9561
2019-06-05,-1.1314
2019-06-06,-3.169
2019-06-07,0.9091
2019-06-10,9.3694
2019-06-11,-4.2834
2019-06-12,-0.1721
2019-06-13,1.8965999999999998
2019-06-14,0.5922
2019-06-17,0.7569
2019-06-18,1.0851
2019-06-19,-0.4955
2019-06-20,6.39
2019-06-21,0.468
2019-06-24,-1.3975
2019-06-25,-1.9685000000000001
2019-06-26,0.5622
2019-06-27,-2.7157
2019-06-28,6.7323
