ticker,BLPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-13,-25.25
2015-02-17,3.01
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,1.9481000000000002
2015-02-23,2.017
2015-02-24,-2.2893
2015-02-25,1.065
2015-02-26,20.6533
2015-02-27,4.8035
2015-03-02,-0.5
2015-03-03,-2.0938
2015-03-04,-3.1651
2015-03-05,2.9152
2015-03-06,-0.0858
2015-03-09,-7.646
2015-03-10,-8.186
2015-03-11,2.9382
2015-03-12,0.5906
2015-03-13,-4.5988
2015-03-16,14.8718
2015-03-17,1.6071
2015-03-18,-2.7241
2015-03-19,-2.6197
2015-03-20,2.9685
2015-03-23,-8.1081
2015-03-24,0.8824
2015-03-25,-1.9436
2015-03-26,2.6759
2015-03-27,-3.4749
2015-03-30,-6.5
2015-03-31,-1.8182
2015-04-01,1.7974
2015-04-02,3.2638
2015-04-06,1.0363
2015-04-07,3.3846
2015-04-08,0.4216
2015-04-09,-3.186
2015-04-10,1.4285999999999999
2015-04-13,2.5151
2015-04-14,1.2758
2015-04-15,1.2597
2015-04-16,0.5742
2015-04-17,-1.7127
2015-04-20,0.3872
2015-04-21,-2.9894
2015-04-22,-0.8449
2015-04-23,-0.5501
2015-04-24,-3.9327
2015-04-27,-0.2099
2015-04-28,-10.6204
2015-04-29,6.9412
2015-04-30,-0.9901
2015-05-01,3.0
2015-05-04,-7.4434000000000005
2015-05-05,-2.331
2015-05-06,2.5060000000000002
2015-05-07,-1.5716
2015-05-08,1.1236
2015-05-11,-0.2339
2015-05-12,1.4068
2015-05-13,-1.7341
2015-05-14,0.2412
2015-05-15,1.6372
2015-05-18,-5.3118
2015-05-19,2.3171
2015-05-20,1.907
2015-05-21,5.4971
2015-05-22,0.3326
2015-05-26,3.2044
2015-05-27,0.5353
2015-05-28,1.278
2015-05-29,-2.4185
2015-06-01,-0.3233
2015-06-02,0.973
2015-06-03,-0.9636
2015-06-04,-3.8919
2015-06-05,0.225
2015-06-08,3.0303
2015-06-09,-0.5447
2015-06-10,0.8762
2015-06-11,1.9544000000000001
2015-06-12,-2.9819
2015-06-15,-1.427
2015-06-16,0.3341
2015-06-17,-1.1099
2015-06-18,-4.9383
2015-06-19,-10.7438
2015-06-22,0.0
2015-06-23,4.8942
2015-06-24,0.5044
2015-06-25,-2.2585
2015-06-26,-3.2092
2015-06-29,3.183
2015-06-30,1.928
2015-07-01,0.8827
2015-07-02,0.0
2015-07-06,0.75
2015-07-07,2.7295
