ticker,CHFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-10-10,0.0
2003-10-20,2.2222
2003-10-28,2.6087
2003-11-03,-5.0847
2003-11-11,2.6786
2003-11-28,247.8261
2003-12-01,-50.0
2003-12-02,0.0
2003-12-12,75.0
2003-12-15,14.2857
2003-12-16,0.0
2003-12-17,0.0
2003-12-29,0.0
2003-12-30,0.0
2004-01-28,0.0
2004-02-02,100.0
2004-02-03,-43.75
2004-03-31,-33.3333
2004-06-08,-25.0
2004-06-09,-11.1111
2004-06-10,2.5
2004-06-14,-39.0244
2004-06-15,-12.0
2004-06-16,-27.2727
2004-06-17,-5.0
2004-06-18,-14.473700000000001
2004-06-21,-15.3846
2004-06-22,-27.2727
2004-06-24,12.5
2004-06-29,-11.1111
2004-06-30,-20.0
2004-07-01,40.625
2004-07-06,33.3333
2004-07-08,18.3333
2004-07-09,7.0423
2004-07-12,44.7368
2004-07-16,40.9091
2004-07-20,-3.2258
2004-07-21,33.3333
2004-07-28,-22.5
2004-07-29,3.2258
2004-08-03,12.5
2004-08-04,-5.5556
2004-08-06,5.8824
2004-08-12,-2.7778
2004-08-20,-8.5714
2004-08-23,3.125
2004-08-24,15.1515
2004-08-25,-5.2632
2004-08-26,-8.3333
2004-08-27,4.2424
2004-08-30,-15.6977
2004-08-31,-20.0
2004-09-01,3.8792999999999997
2004-09-02,3.7344
2004-09-03,12.0
2004-09-07,2.8571
2004-09-08,4.1667
2004-09-09,40.0
2004-09-10,7.1429
2004-09-13,2.2222
2004-09-14,-3.9130000000000003
2004-09-15,27.1493
2004-09-16,-5.694
2004-09-17,-5.6604
2004-09-20,4.8
2004-09-21,46.9466
2004-09-22,-18.961
2004-09-23,-0.641
2004-09-24,-1.9355
2004-09-27,1.6447
2004-09-28,-9.3851
2004-09-29,-17.8571
2004-09-30,-11.3043
2004-10-01,-1.9607999999999999
2004-10-04,7.5
2004-10-05,2.3256
2004-10-06,-20.4545
2004-10-07,-28.5714
2004-10-08,-2.4
2004-10-11,38.5246
2004-10-12,0.5917
2004-10-13,-0.5882
2004-10-14,2.9586
2004-10-15,0.5747
2004-10-18,-0.5714
2004-10-19,-12.069
2004-10-20,-1.9607999999999999
2004-10-21,16.0
2004-10-22,0.0
2004-10-25,-19.5402
2004-10-26,-3.5714
2004-10-27,11.1111
2004-10-28,6.0
2004-10-29,6.2893
2004-11-01,0.0
2004-11-02,0.0
2004-11-03,-8.284
2004-11-04,15.4839
2004-11-05,6.1453
2004-11-08,-2.6316
