ticker,MFON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-01-13,-3.3333
2011-01-18,3.4483
2011-01-20,0.0
2011-01-21,16.6667
2011-01-24,2.8571
2011-01-25,11.1111
2011-01-26,10.0
2011-01-27,13.6364
2011-01-28,20.0
2011-01-31,6.6667
2011-02-01,7.8125
2011-02-02,1.4493
2011-02-03,8.5714
2011-02-04,5.2632
2011-02-07,1.25
2011-02-08,-0.4938
2011-02-09,-6.9479
2011-02-10,5.3333
2011-02-11,1.2658
2011-02-14,0.0
2011-02-15,0.0
2011-02-17,-2.5
2011-02-18,-3.8462
2011-02-22,0.0
2011-02-24,-2.6667
2011-02-25,16.4384
2011-02-28,-4.0
2011-03-03,-8.0882
2011-03-08,0.0
2011-03-15,-6.6667
2011-03-17,0.0
2011-03-21,0.0
2011-03-23,0.0
2011-03-24,0.0
2011-03-25,-7.1429
2011-03-28,4.6154
2011-03-29,-1.4706000000000001
2011-03-31,0.0
2011-04-01,0.0
2011-04-04,0.0
2011-04-05,0.0
2011-04-06,0.0
2011-04-13,-13.4328
2011-04-14,3.4483
2011-04-15,0.0
2011-04-19,0.0
2011-04-20,-0.3333
2011-04-21,7.0234
2011-04-25,-6.25
2011-04-27,-6.6667
2011-04-29,-2.5
2011-05-04,0.0
2011-05-05,-6.5934
2011-05-06,-3.9215999999999998
2011-05-09,1.6327
2011-05-19,-1.6064
2011-05-24,-8.1633
2011-05-26,-8.8889
2011-06-02,-7.8049
2011-06-24,-1.0582
2011-06-27,-3.7433
2011-06-29,5.5556
2011-07-01,-5.2632
2011-07-05,0.0
2011-07-06,-2.7778
2011-07-07,0.0
2011-07-11,0.0
2011-07-12,5.7143
2011-07-13,0.0
2011-07-15,0.0
2011-07-18,0.0
2011-07-20,-2.7027
2011-07-21,-2.7778
2011-07-22,2.8571
2011-07-25,0.0
2011-07-27,0.0
2011-07-28,0.0
2011-07-29,5.0
2011-08-02,-7.4074
2011-08-03,0.0
2011-08-08,0.0
2011-08-10,-2.8571
2011-08-11,2.9412000000000003
2011-08-15,-11.4286
2011-08-16,-6.4516
2011-08-17,-3.4483
2011-08-18,21.4286
2011-08-23,-5.8824
2011-08-25,6.25
2011-08-26,8.8235
2011-08-29,2.7027
2011-08-30,-1.0526
2011-08-31,0.0
2011-09-01,-0.5319
2011-09-02,0.5348
2011-09-06,-0.5319
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,-1.0695000000000001
2011-09-13,-1.6216
2011-09-14,-1.6484
2011-09-15,0.5587
