ticker,YGTYF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-05,-28.2
2018-02-06,20.8914
2018-02-07,-5.53
2018-02-08,0.0122
2018-02-09,-1.1096
2018-02-12,-3.3416
2018-02-13,-1.0078
2018-02-14,-5.6701
2018-02-15,0.5464
2018-02-16,-4.8913
2018-02-20,0.2857
2018-02-21,-1.1396
2018-02-22,-1.0461
2018-02-23,-3.5093
2018-02-26,5.3362
2018-02-27,4.3524
2018-02-28,8.4599
2018-03-01,0.7595
2018-03-02,0.5025
2018-03-05,-0.5
2018-03-06,0.5025
2018-03-07,-0.5
2018-03-08,0.0
2018-03-09,3.0151
2018-03-12,0.0
2018-03-13,-2.439
2018-03-14,0.25
2018-03-15,2.9925
2018-03-16,8.4746
2018-03-19,2.2321
2018-03-20,4.3668
2018-03-21,1.4644
2018-03-22,7.4227
2018-03-23,-5.1823
2018-03-26,-2.834
2018-03-27,8.5417
2018-03-28,0.7678
2018-03-29,1.3333
2018-04-02,0.5639
2018-04-03,-0.9346
2018-04-04,0.3774
2018-04-05,0.5639
2018-04-06,-2.8037
2018-04-09,-9.4231
2018-04-10,6.7941
2018-04-11,1.5905
2018-04-12,-3.3268
2018-04-13,5.2632
2018-04-16,-3.8462
2018-04-17,-1.0
2018-04-18,-5.6566
2018-04-19,-2.7837
2018-04-20,0.8811
2018-04-23,1.9651
2018-04-24,-5.7816
2018-04-25,-1.8182
2018-04-26,1.6019
2018-04-27,2.7499000000000002
2018-04-30,-1.9933999999999998
2018-05-01,1.81
2018-05-02,-0.6689
2018-05-03,-1.3401
2018-05-04,-3.6281
2018-05-07,1.1764999999999999
2018-05-08,-5.814
2018-05-09,0.4938
2018-05-10,-1.2285
2018-05-11,-0.4975
2018-05-14,5.0
2018-05-15,5.2357
2018-05-16,0.2285
2018-05-17,-2.4831
2018-05-18,-4.1667
2018-05-21,-1.4493
2018-05-22,-1.9607999999999999
2018-05-23,1.5
2018-05-24,0.2463
2018-05-25,2.457
2018-05-29,-6.4748
2018-05-30,5.1282
2018-05-31,-1.2854
2018-06-01,-1.6627999999999998
2018-06-04,-1.3241
2018-06-05,-3.7507
2018-06-06,0.5291
2018-06-07,-3.9474
2018-06-08,4.0356
2018-06-11,-1.3167
2018-06-12,4.8755
2018-06-13,4.3257
2018-06-14,-0.2439
2018-06-15,-1.2225
2018-06-18,3.7129
2018-06-19,0.0
2018-06-20,2.6253
2018-06-21,-2.5581
2018-06-22,2.148
2018-06-25,-5.8411
