ticker,LILA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-01-03,1.2511999999999999
2018-01-04,-2.151
2018-01-05,-1.3564
2018-01-08,1.3276
2018-01-09,-1.4506000000000001
2018-01-10,-0.8547
2018-01-11,-0.0479
2018-01-12,1.3896
2018-01-16,-0.189
2018-01-17,-0.2841
2018-01-18,1.3295
2018-01-19,-0.7966
2018-01-22,0.0472
2018-01-23,1.2748
2018-01-24,5.9674
2018-01-25,3.6076
2018-01-26,-0.9766
2018-01-29,0.6861
2018-01-30,-2.5554
2018-01-31,-1.8794
2018-02-01,0.2227
2018-02-02,-0.8889
2018-02-05,-2.5561
2018-02-06,1.3346
2018-02-07,-0.2725
2018-02-08,-4.8725000000000005
2018-02-09,4.404
2018-02-12,1.6965
2018-02-13,0.1353
2018-02-14,4.1873
2018-02-15,1.2532
2018-02-16,0.0
2018-02-20,-1.8353000000000002
2018-02-21,0.4783
2018-02-22,-1.3847
2018-02-23,-0.9215
2018-02-26,-5.0044
2018-02-27,-1.8182
2018-02-28,-1.7094
2018-03-01,-1.0628
2018-03-02,0.0977
2018-03-05,4.2439
2018-03-06,-0.2808
2018-03-07,-0.1877
2018-03-08,0.1881
2018-03-09,0.0939
2018-03-12,1.1252
2018-03-13,-0.5563
2018-03-14,0.8392
2018-03-15,-0.1849
2018-03-16,-1.1116
2018-03-19,-0.6089
2018-03-20,-0.7069
2018-03-21,1.5187
2018-03-22,-3.7401
2018-03-23,-0.3885
2018-03-26,1.8528
2018-03-27,0.1436
2018-03-28,-6.0229
2018-03-29,-1.0682
2018-04-02,1.5424
2018-04-03,-0.7595
2018-04-04,1.4285999999999999
2018-04-05,1.3078
2018-04-06,0.2979
2018-04-09,-3.0693
2018-04-10,0.0
2018-04-11,-0.1532
2018-04-12,-1.9437
2018-04-13,0.8868
2018-04-16,0.1551
2018-04-17,4.4399
2018-04-18,-0.1977
2018-04-19,-1.6345
2018-04-20,-0.2518
2018-04-23,-0.3534
2018-04-24,-1.2158
2018-04-25,1.4872
2018-04-26,-1.5159
2018-04-27,-3.6429
2018-04-30,-2.0234
2018-05-01,1.25
2018-05-02,5.8508
2018-05-03,0.7099
2018-05-04,3.1219
2018-05-07,1.8555000000000001
2018-05-08,-0.4314
2018-05-09,2.4555
2018-05-10,0.9868
2018-05-11,-0.1861
2018-05-14,1.1655
2018-05-15,-4.2857
2018-05-16,-0.1926
2018-05-17,2.1708
2018-05-18,0.661
2018-05-21,1.3133
2018-05-22,0.463
