ticker,YTRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-20,0.0
2016-12-21,-0.5
2016-12-22,-0.5025
2016-12-23,-0.5051
2016-12-28,-1.3197999999999999
2016-12-29,-3.8066
2016-12-30,0.0
2017-01-03,0.0
2017-01-04,3.6364
2017-01-05,-1.9607999999999999
2017-01-06,2.3158
2017-01-10,-1.1317
2017-01-11,0.5203
2017-01-12,-0.5176
2017-01-13,-0.1041
2017-01-17,0.0
2017-01-18,-0.7292
2017-01-19,-0.4197
2017-01-20,2.2129
2017-01-23,2.1649
2017-01-24,-0.3292
2017-01-25,0.2291
2017-01-26,-1.0467
2017-01-27,0.4453
2017-01-30,-0.4065
2017-01-31,-0.4082
2017-02-01,0.4098
2017-02-02,-0.8673
2017-02-03,1.2867
2017-02-06,-5.1829
2017-02-07,0.2144
2017-02-08,-1.0709
2017-02-09,0.5419
2017-02-10,-0.3226
2017-02-13,-0.4315
2017-02-14,-0.9751
2017-02-15,-0.6565
2017-02-16,-3.1938
2017-02-17,0.9101
2017-02-21,-2.8185000000000002
2017-02-22,-1.3921000000000001
2017-02-23,-0.5294
2017-02-24,-1.4784
2017-02-27,0.7203
2017-02-28,1.3111
2017-03-01,-1.2941
2017-03-02,-2.8605
2017-03-03,-0.1227
2017-03-06,-1.7199
2017-03-07,-1.5
2017-03-08,3.934
2017-03-09,0.6105
2017-03-10,1.6989999999999998
2017-03-13,0.5967
2017-03-14,0.1186
2017-03-15,0.1185
2017-03-16,1.182
2017-03-17,1.7559
2017-03-20,2.9885
2017-03-21,2.1205
2017-03-22,1.6393
2017-03-23,2.043
2017-03-24,-1.3699
2017-03-27,0.3205
2017-03-28,-0.1331
2017-03-29,0.2399
2017-03-30,0.8511
2017-03-31,0.211
2017-04-03,2.3158
2017-04-04,-0.823
2017-04-05,-0.9336
2017-04-06,0.8377
2017-04-07,-1.1423
2017-04-10,-0.2101
2017-04-11,-0.2105
2017-04-12,-0.3165
2017-04-13,-0.4993
2017-04-17,2.6289
2017-04-18,-3.3161
2017-04-19,-0.5359
2017-04-20,0.6466
2017-04-21,-1.0707
2017-04-24,0.0
2017-04-25,-0.4329
2017-04-26,0.0
2017-04-27,-0.4348
2017-04-28,-0.3275
2017-05-01,-0.1903
2017-05-02,1.7269999999999999
2017-05-03,2.8047
2017-05-04,-0.7345
2017-05-05,-1.1628
2017-05-08,1.0695000000000001
2017-05-09,-0.4775
2017-05-10,1.0114
2017-05-11,-1.0526
2017-05-12,-1.4894
