ticker,CDTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-15,0.0
2015-04-16,-5.0
2015-04-17,-0.3947
2015-04-20,0.9908
2015-04-21,-1.5697
2015-04-22,-0.7309
2015-04-23,1.4056
2015-04-24,-0.33
2015-04-27,-1.3245
2015-04-28,-0.7383
2015-04-29,-3.4483
2015-04-30,2.3810000000000002
2015-05-01,-4.788
2015-05-04,5.9626
2015-05-05,-2.5084999999999997
2015-05-06,-0.6259
2015-05-07,0.4899
2015-05-08,4.039
2015-05-11,0.4016
2015-05-12,0.2667
2015-05-13,4.7207
2015-05-14,1.9048
2015-05-15,1.6822
2015-05-18,2.2672
2015-05-19,-2.6363
2015-05-20,0.6154
2015-05-21,1.0398
2015-05-22,-5.6295
2015-05-26,4.6825
2015-05-27,-3.4926
2015-05-28,-0.5079
2015-05-29,0.1276
2015-06-01,3.4417
2015-06-02,2.711
2015-06-03,-0.4799
2015-06-04,-1.9891999999999999
2015-06-05,1.476
2015-06-08,-1.5758
2015-06-09,-2.032
2015-06-10,-1.0685
2015-06-11,1.4612
2015-06-12,-0.814
2015-06-15,-1.3889
2015-06-16,0.2561
2015-06-17,-0.9579
2015-06-18,2.8369
2015-06-19,-4.7022
2015-06-22,-0.1316
2015-06-23,-0.7246
2015-06-24,-4.5123
2015-06-25,-2.9882
2015-06-26,-0.788
2015-06-29,1.1552
2015-06-30,0.0714
2015-07-01,4.5649
2015-07-02,-0.0682
2015-07-06,3.686
2015-07-07,-1.58
2015-07-08,-3.4783
2015-07-09,-2.9798999999999998
2015-07-10,3.0714
2015-07-13,0.0693
2015-07-14,1.385
2015-07-15,0.3415
2015-07-16,1.2934
2015-07-17,-1.4113
2015-07-20,1.8405
2015-07-21,-1.4056
2015-07-22,0.4073
2015-07-23,-1.4875
2015-07-24,0.4804
2015-07-27,-3.0055
2015-07-28,-1.6901000000000002
2015-07-29,-0.8596
2015-07-30,-2.0231
2015-07-31,3.0973
2015-08-03,3.8627000000000002
2015-08-04,-1.5152
2015-08-05,-0.1399
2015-08-06,-0.2101
2015-08-07,-3.0877
2015-08-10,0.9413
2015-08-11,-1.7934
2015-08-12,-0.6574
2015-08-13,5.0735
2015-08-14,1.4696
2015-08-17,1.6552
2015-08-18,-3.1208
2015-08-19,-2.1008
2015-08-20,0.7868
2015-08-21,-0.3549
2015-08-24,-0.7835
2015-08-25,0.8615
2015-08-26,1.4947
2015-08-27,1.2623
2015-08-28,1.5928
2015-08-31,-2.9993
2015-09-01,-0.2108
