ticker,INTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,5.6948
2000-01-04,-4.6695
2000-01-05,0.8289
2000-01-06,-5.8296
2000-01-07,4.127
2000-01-10,4.5732
2000-01-11,4.5918
2000-01-12,1.7422
2000-01-13,-0.2055
2000-01-14,13.1778
2000-01-18,-0.9096
2000-01-19,-2.0196
2000-01-20,-4.4347
2000-01-21,2.4183
2000-01-24,0.8934
2000-01-25,2.783
2000-01-26,-4.9846
2000-01-27,1.6839
2000-01-28,-4.2038
2000-01-31,5.2527
2000-02-01,2.5268
2000-02-02,-1.3555
2000-02-03,4.1524
2000-02-04,0.5399
2000-02-07,3.043
2000-02-08,0.8107
2000-02-09,-3.8484
2000-02-10,2.8674
2000-02-11,-1.626
2000-02-14,3.778
2000-02-15,1.9340000000000002
2000-02-16,-4.2969
2000-02-17,2.6239
2000-02-18,-4.2045
2000-02-22,1.3049
2000-02-23,2.1663
2000-02-24,4.7564
2000-02-25,-0.8753
2000-02-28,-0.7726
2000-02-29,0.5562
2000-03-01,2.5442
2000-03-02,-0.1079
2000-03-03,3.0238
2000-03-06,-1.5723
2000-03-07,-1.3845
2000-03-08,-0.7019
2000-03-09,2.9908
2000-03-10,1.5312000000000001
2000-03-13,1.6120999999999999
2000-03-14,-3.48
2000-03-15,1.9618
2000-03-16,4.0562
2000-03-17,3.8481
2000-03-20,3.9461
2000-03-21,2.5463
2000-03-22,4.0632
2000-03-23,-0.9978
2000-03-24,-2.4978
2000-03-27,2.6067
2000-03-28,-4.9058
2000-03-29,-2.8098
2000-03-30,-3.6967
2000-03-31,3.8878
2000-04-03,-0.9948
2000-04-04,1.6268
2000-04-05,-2.1657
2000-04-06,-0.0481
2000-04-07,5.3924
2000-04-10,-4.1571
2000-04-11,-0.286
2000-04-12,-6.7878
2000-04-13,-0.6154
2000-04-14,-8.7719
2000-04-17,11.3122
2000-04-18,4.878
2000-04-19,-7.7035
2000-04-20,-3.0971
2000-04-24,0.6501
2000-04-25,7.6426
2000-04-26,-3.35
2000-04-27,3.7248
2000-04-28,1.197
2000-05-01,0.2464
2000-05-02,-4.6706
2000-05-03,-1.7287
2000-05-04,0.4199
2000-05-05,3.1887
2000-05-08,-4.6606
2000-05-09,-0.5845
2000-05-10,-9.2998
2000-05-11,8.957
2000-05-12,-0.4867
2000-05-15,2.7174
2000-05-16,3.1746
2000-05-17,1.0769
2000-05-18,0.6088
2000-05-19,-4.8916
2000-05-22,0.4242
2000-05-23,-7.1806
