ticker,NGRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-18,10.0
2011-04-20,0.0
2011-05-16,0.0
2011-05-18,0.0
2011-07-08,0.0
2012-01-12,0.0
2012-05-04,-36.3636
2012-06-04,-14.2857
2012-06-19,236.6667
2012-06-20,0.0
2012-06-25,-35.6436
2012-07-18,-24.6154
2012-07-19,2.0408
2012-07-20,0.0
2012-08-01,-2.0
2012-08-06,1.2245
2012-08-10,0.8065
2012-08-17,-21.0
2012-08-21,1.2658
2012-08-22,0.0
2012-08-23,-1.25
2012-09-04,1.2658
2012-09-05,15.0
2012-09-06,4.3478
2012-09-07,-5.2083
2012-09-10,7.6923
2012-09-11,-12.0408
2012-09-12,16.0093
2012-09-13,-2.0
2012-09-17,-8.1633
2012-09-18,3.7778
2012-09-20,7.0664
2012-09-21,-4.0
2012-09-24,-4.1667
2012-09-25,6.5217
2012-09-26,-10.2041
2012-09-28,9.0909
2012-10-01,0.0
2012-10-02,-8.3333
2012-10-05,2.2727
2012-10-08,15.5556
2012-10-09,13.461500000000001
2012-10-10,15.2542
2012-10-11,-7.3529
2012-10-12,31.746
2012-10-15,21.6867
2012-10-16,1.9802
2012-10-17,0.9709
2012-10-18,-0.9615
2012-10-19,-2.9126
2012-10-22,4.0
2012-10-23,-17.8846
2012-10-24,1.8735
2012-10-25,-35.6322
2012-10-26,7.1429
2012-10-31,-11.6667
2012-11-01,-18.8679
2012-11-02,-32.5581
2012-11-05,2.069
2012-11-06,28.3784
2012-11-07,12.6316
2012-11-08,-1.8692
2012-11-09,-0.4762
2012-11-12,-1.7045
2012-11-13,-2.6468
2012-11-14,-0.5
2012-11-15,3.0151
2012-11-16,21.9512
2012-11-19,2.0
2012-11-20,5.8824
2012-11-21,1.8519
2012-11-23,5.4545
2012-11-26,0.0
2012-11-27,-1.7241
2012-11-28,6.1404
2012-11-29,-12.3967
2012-11-30,9.434
2012-12-03,24.1379
2012-12-04,27.6389
2012-12-05,-22.6333
2012-12-06,-17.0183
2012-12-07,-40.678
2012-12-10,-12.2857
2012-12-11,-0.6515
2012-12-12,-1.6393
2012-12-13,1.6667
2012-12-14,-4.877
2012-12-17,0.3016
2012-12-18,1.3746
2012-12-19,0.0
2012-12-20,-5.0424
2012-12-21,3.5252
2012-12-24,0.0
2012-12-26,0.0
2012-12-27,-6.8966
2012-12-28,0.0
2012-12-31,-4.4444
2013-01-02,4.6512
2013-01-03,-7.4074
2013-01-04,0.0
2013-01-07,-8.0
2013-01-08,-13.0435
