ticker,TAER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-23,-2.7778
2010-10-11,-2.8571
2010-10-12,0.0
2010-10-13,-0.9804
2010-10-14,-45.5446
2010-10-25,-25.4545
2010-10-26,21.9512
2010-11-03,2.0
2010-11-05,37.2549
2010-11-29,57.1429
2010-12-01,45.4545
2010-12-03,0.0
2010-12-07,25.0
2010-12-09,0.0
2010-12-13,9.0
2010-12-20,4.5872
2011-01-11,8.7719
2011-02-18,0.0
2011-03-08,-55.6452
2011-03-21,0.0
2011-05-03,0.0
2011-05-06,0.0
2011-05-17,-31.8182
2011-05-23,-20.0
2011-05-25,0.0
2011-05-26,0.0
2011-06-21,0.0
2011-07-14,0.0
2011-09-02,150.0
2011-09-06,0.0
2011-09-07,33.3333
2011-09-13,0.0
2011-09-15,-25.0
2011-09-26,-29.3333
2011-09-27,60.3774
2011-09-28,17.647100000000002
2011-09-29,12.5
2011-10-04,-15.5556
2011-10-07,18.4211
2011-10-13,11.1111
2011-10-17,2.0
2011-10-18,1.9607999999999999
2011-10-20,0.0
2011-10-26,-13.461500000000001
2011-10-31,0.0
2011-11-07,0.0
2011-11-10,6.6667
2011-11-11,4.1667
2011-11-14,0.0
2011-11-18,2.0
2011-11-28,-1.9607999999999999
2011-12-02,4.0
2011-12-09,-3.8462
2011-12-12,4.0
2011-12-27,-3.8462
2012-03-06,4.0
2012-03-30,-9.6154
2012-06-07,-46.8085
2012-07-18,60.0
2012-07-19,0.0
2012-07-25,10.0
2012-07-26,0.0
2012-07-30,18.1818
2012-08-03,3.8462
2012-08-09,-3.7037
2012-08-14,1.9231
2012-08-15,0.0
2012-08-17,3.7736
2012-08-20,1.0909
2012-08-22,0.7194
2012-08-23,0.0
2012-09-11,4.2857
2012-09-14,1.0274
2012-09-21,1.6949
2012-09-26,-1.6667
2012-10-04,0.0
2012-10-05,0.0
2012-10-09,0.0
2012-10-18,0.0
2012-10-22,1.6949
2012-11-23,-1.6667
2012-11-27,1.6949
2012-12-11,5.0
2012-12-12,-4.7619
2012-12-20,0.0
2012-12-31,0.0
2013-02-01,-33.3333
2013-02-19,20.0
2013-03-01,-70.8333
2013-03-05,114.2857
2013-03-07,20.0
2013-03-08,16.6667
2013-03-11,7.1429
2013-03-12,11.1111
2013-03-14,4.0
2013-03-15,0.0
2013-03-27,3.8462
2013-04-09,11.1111
2013-05-13,-10.0
2013-05-20,11.1111
2013-08-08,-10.0
2013-08-12,0.0
2013-10-11,0.0
2014-03-26,-25.9259
