ticker,JAMN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-12-18,0.0
2008-12-19,-4.2857
2009-08-11,-85.0746
2009-12-11,0.0
2009-12-14,100.0
2009-12-18,155.0
2009-12-21,47.0588
2010-01-06,-17.3333
2010-01-07,-1.6129
2010-01-12,1.6393
2010-01-20,-1.6129
2010-02-24,65.5738
2010-02-25,-0.9901
2010-03-11,203.0
2010-03-12,0.0
2010-03-17,0.0
2010-03-22,0.0
2010-03-23,-11.8812
2010-04-12,-39.3258
2010-04-14,-25.9259
2010-04-15,-37.5
2010-04-19,120.0
2010-04-20,0.0
2010-04-23,3.0227
2010-05-04,78.2484
2010-05-10,0.0
2010-05-12,0.0
2010-06-08,23.7624
2010-06-09,-80.0
2010-06-30,-60.0
2010-07-28,70.0
2010-10-19,0.0
2010-12-15,0.0
2010-12-23,194.1176
2010-12-27,6.0
2010-12-28,0.0
2010-12-30,3.7736
2010-12-31,0.0
2011-01-10,-7.2727
2011-01-13,19.6078
2011-01-14,0.0
2011-01-18,-1.6393
2011-01-19,1.6667
2011-01-20,1.6393
2011-01-21,4.8387
2011-01-25,0.0
2011-01-26,0.0
2011-02-01,0.0
2011-02-02,-6.1538
2011-02-03,15.5738
2011-02-04,-0.7092
2011-02-07,-24.2857
2011-02-08,16.9811
2011-02-09,20.9677
2011-02-10,2.6667
2011-02-11,2.5974
2011-02-14,2.5316
2011-02-15,-7.4074
2011-02-16,5.3333
2011-02-17,0.0
2011-02-18,0.0
2011-02-22,-1.8987
2011-02-23,3.2258
2011-02-24,6.25
2011-02-25,2.2353
2011-02-28,4.7181
2011-03-01,2.1978
2011-03-02,0.0
2011-03-03,-1.1828
2011-03-04,6.6376
2011-03-07,4.0816
2011-03-08,3.9215999999999998
2011-03-09,10.3774
2011-03-10,8.547
2011-03-11,-10.2362
2011-03-14,-9.6491
2011-03-15,-6.7961
2011-03-16,15.625
2011-03-17,12.6126
2011-03-18,12.0
2011-03-21,-3.5714
2011-03-22,-3.7037
2011-03-23,0.0
2011-03-24,-3.0769
2011-03-25,0.7937
2011-03-28,6.2992
2011-03-29,8.1481
2011-03-30,3.4247
2011-03-31,3.3113
2011-04-01,2.5641
2011-04-04,3.125
2011-04-05,3.6364
2011-04-06,2.3392
2011-04-07,2.8571
2011-04-08,1.6667
2011-04-11,1.6393
2011-04-12,0.5376
2011-04-13,-33.1551
2011-04-14,38.4
2011-04-15,4.6243
2011-04-18,-3.8674
2011-04-19,-3.4483
2011-04-20,7.1429
