ticker,GSM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-07-30,1.2857
2009-07-31,1.5514999999999999
2009-08-03,11.1111
2009-08-04,-3.0
2009-08-05,14.1753
2009-08-06,-10.0451
2009-08-07,4.1405
2009-08-10,-3.6145
2009-08-11,-3.0
2009-08-12,2.0619
2009-08-13,3.1566
2009-08-14,0.7344
2009-08-17,-2.3086
2009-08-18,1.2438
2009-08-19,0.7471
2009-08-20,-1.1074
2009-08-21,2.3428
2009-08-24,-1.8072
2009-08-25,-2.6994
2009-08-26,2.7743
2009-08-27,0.2454
2009-08-28,-0.8568
2009-08-31,1.1111
2009-09-01,-3.5394
2009-09-02,0.3782
2009-09-03,0.3783
2009-09-04,0.6281
2009-09-08,1.7478
2009-09-09,-0.1227
2009-09-10,1.3514
2009-09-11,2.4242
2009-09-14,-1.8935
2009-09-15,0.1206
2009-09-16,-1.6867
2009-09-17,2.3284000000000002
2009-09-18,-0.2395
2009-09-21,-1.5606
2009-09-22,4.138
2009-09-23,0.5936
2009-09-24,0.2328
2009-09-25,2.7875
2009-09-28,-2.9379
2009-09-29,0.8149
2009-09-30,4.157
2009-10-01,-7.4279
2009-10-02,4.1916
2009-10-05,-1.954
2009-10-06,2.4619
2009-10-07,-2.746
2009-10-08,0.5882
2009-10-09,2.3392
2009-10-12,1.1429
2009-10-13,-0.565
2009-10-14,-0.2273
2009-10-15,0.2278
2009-10-16,-4.5455
2009-10-19,-0.2381
2009-10-20,-0.8353
2009-10-21,1.083
2009-10-22,1.4285999999999999
2009-10-23,-1.4085
2009-10-26,-1.5476
2009-10-27,-1.2092
2009-10-28,-5.6304
2009-10-29,5.3178
2009-10-30,-2.4631
2009-11-02,-2.1465
2009-11-03,-1.9355
2009-11-04,2.3684
2009-11-05,8.4833
2009-11-06,0.8294
2009-11-09,2.7027
2009-11-10,0.1144
2009-11-11,1.0286
2009-11-12,2.2624
2009-11-13,-1.2168
2009-11-16,-1.2318
2009-11-17,-2.4943
2009-11-18,1.1628
2009-11-19,-0.8046
2009-11-20,-0.3476
2009-11-23,-0.6977
2009-11-24,-0.2342
2009-11-25,0.0
2009-11-27,-4.5775
2009-11-30,2.8289999999999997
2009-12-01,1.0766
2009-12-02,-0.4734
2009-12-03,-1.0702
2009-12-04,2.0433
2009-12-07,6.0071
2009-12-08,4.1111
2009-12-09,1.3874
2009-12-10,-2.6316
2009-12-11,0.973
2009-12-14,1.0707
2009-12-15,-2.1186
2009-12-16,0.1082
2009-12-17,-1.6216
