ticker,STYS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-11-12,340.0
2004-11-15,54.5455
2004-11-16,83.5294
2004-11-17,23.3974
2004-11-18,-23.3766
2004-11-19,-6.7797
2004-11-22,30.9091
2004-11-23,5.5556
2004-11-24,-2.6316
2004-11-26,1.3514
2004-11-29,-10.6667
2004-11-30,1.791
2004-12-01,-1.7595
2004-12-02,-15.2239
2004-12-03,-6.4085
2004-12-06,5.3424
2004-12-07,-1.7856999999999998
2004-12-08,6.9091000000000005
2004-12-09,-10.2041
2004-12-10,5.303
2004-12-13,-7.554
2004-12-14,1.1673
2004-12-15,5.6154
2004-12-16,-1.6752
2004-12-17,-11.1111
2004-12-20,-15.75
2004-12-21,18.6944
2004-12-22,25.0
2004-12-23,16.6667
2004-12-27,0.0
2004-12-28,-8.5714
2004-12-29,0.0
2004-12-30,6.25
2004-12-31,0.5882
2005-01-03,-3.5088
2005-01-04,9.0909
2005-01-05,23.8889
2005-01-06,30.0448
2005-01-07,16.3793
2005-01-10,24.4444
2005-01-11,9.5238
2005-01-12,-34.7826
2005-01-13,-18.3333
2005-01-14,10.2041
2005-01-18,16.6667
2005-01-19,4.7619
2005-01-20,-9.0909
2005-01-21,-0.6667
2005-01-24,-4.3624
2005-01-25,-14.0351
2005-01-26,-18.3673
2005-01-27,-25.25
2005-01-28,10.3679
2005-01-31,11.818200000000001
2005-02-01,-3.794
2005-02-02,-6.4789
2005-02-03,-0.6024
2005-02-04,-6.0606
2005-02-07,1.6129
2005-02-08,-5.0794
2005-02-09,-3.3445
2005-02-10,-13.4948
2005-02-11,-12.0
2005-02-14,-0.4545
2005-02-15,7.3059
2005-02-16,0.0
2005-02-17,-5.7872
2005-02-18,-0.6323
2005-02-22,-8.1818
2005-02-23,-0.9901
2005-02-24,-2.5
2005-02-25,-2.5641
2005-02-28,-3.1579
2005-03-01,4.8913
2005-03-02,-4.1451
2005-03-03,10.2703
2005-03-04,-6.8627
2005-03-07,0.0
2005-03-08,-2.6316
2005-03-09,-2.1622
2005-03-10,4.4199
2005-03-11,0.0
2005-03-14,-2.1164
2005-03-15,-2.7027
2005-03-16,0.0
2005-03-17,0.0
2005-03-18,7.7778
2005-03-21,20.4124
2005-03-22,13.8699
2005-03-23,-2.2556
2005-03-24,-18.4615
2005-03-28,-7.0755
2005-03-29,1.5228000000000002
2005-03-30,10.0
2005-03-31,-2.2727
2005-04-01,-5.5814
2005-04-04,-6.4039
2005-04-05,5.2632
2005-04-06,-4.9
