ticker,WTTR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-21,0.1429
2017-04-24,8.9872
2017-04-25,3.534
2017-04-26,1.1378
2017-04-27,-1.75
2017-04-28,-2.2265
2017-05-01,-1.7567
2017-05-02,-1.0596
2017-05-03,-1.7403
2017-05-04,-0.6812
2017-05-05,1.0288
2017-05-08,2.1724
2017-05-09,-1.3289
2017-05-10,-0.3367
2017-05-11,1.1486
2017-05-12,-0.6012
2017-05-15,2.7554
2017-05-16,1.3734
2017-05-17,-0.129
2017-05-18,-1.4858
2017-05-19,4.918
2017-05-22,0.8125
2017-05-23,-2.0459
2017-05-24,0.3797
2017-05-25,-0.1261
2017-05-26,0.3788
2017-05-30,-5.0943
2017-05-31,0.5964
2017-06-01,0.2635
2017-06-02,-0.9198
2017-06-05,-0.6631
2017-06-06,-2.8037
2017-06-07,-5.8379
2017-06-08,-0.7294
2017-06-09,-1.6899
2017-06-12,-0.8969
2017-06-13,-0.0754
2017-06-14,-5.2075
2017-06-15,-1.9904
2017-06-16,-1.2185
2017-06-19,3.5362
2017-06-20,0.8737
2017-06-21,-6.6142
2017-06-22,0.6745
2017-06-23,-1.1724999999999999
2017-06-26,1.3559
2017-06-27,1.6722000000000001
2017-06-28,-0.8224
2017-06-29,1.4096
2017-06-30,-0.6541
2017-07-03,-0.1646
2017-07-05,-1.7311999999999999
2017-07-06,0.3356
2017-07-07,-4.0134
2017-07-10,0.1742
2017-07-11,-1.2174
2017-07-12,0.088
2017-07-13,2.4626
2017-07-14,2.1459
2017-07-17,0.9244
2017-07-18,3.8301
2017-07-19,19.6472
2017-07-20,-1.4075
2017-07-21,-0.068
2017-07-24,-3.5374
2017-07-25,5.6417
2017-07-26,1.8692
2017-07-27,-0.2621
2017-07-28,3.8765
2017-07-31,-1.771
2017-08-01,-1.803
2017-08-02,0.918
2017-08-03,-0.5848
2017-08-04,-0.1307
2017-08-07,-1.7016
2017-08-08,1.1318
2017-08-09,1.0533
2017-08-10,-1.2378
2017-08-11,-1.6491
2017-08-14,-1.4755
2017-08-15,-2.3826
2017-08-16,-0.6974
2017-08-17,-0.9831
2017-08-18,-0.6383
2017-08-21,-0.0714
2017-08-22,0.2857
2017-08-23,0.4274
2017-08-24,-0.922
2017-08-25,1.2885
2017-08-28,-2.1201
2017-08-29,1.083
2017-08-30,-0.1429
2017-08-31,0.8584
2017-09-01,3.1206
2017-09-05,-0.4127
2017-09-06,4.7652
2017-09-07,1.0547
2017-09-08,-2.1526
