ticker,TCFF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-26,6.6667
2006-11-15,56.25
2006-11-27,-31.6
2006-12-01,-12.2807
2006-12-07,-24.6667
2006-12-18,-7.0796
2006-12-19,4.7619
2006-12-20,-31.8182
2006-12-21,-17.3333
2007-01-05,-17.7419
2007-01-23,-37.2549
2007-02-02,0.0
2007-02-21,282.1875
2007-02-22,43.0908
2007-03-05,-54.2857
2007-03-12,-31.25
2007-03-14,0.0
2007-04-02,90.9091
2007-05-18,0.0
2007-05-21,-9.5238
2007-05-23,5.2632
2007-05-29,10.0
2007-07-03,209.0909
2007-07-05,127.9412
2007-07-06,1.9355
2007-07-09,1.2658
2007-07-10,24.0
2007-07-11,-7.2581
2007-07-12,-8.6957
2007-07-13,-3.8095
2007-07-16,0.0
2007-07-17,-11.8812
2007-07-18,19.1011
2007-07-19,-3.7736
2007-07-20,2.9412000000000003
2007-07-23,4.7619
2007-07-24,-8.1818
2007-07-25,14.3564
2007-07-26,0.6494
2007-07-27,0.0
2007-07-30,-3.2258
2007-07-31,6.6667
2007-08-01,-7.5
2007-08-02,1.9764
2007-08-03,-0.6129
2007-08-06,13.3333
2007-08-07,0.0
2007-08-08,2.3529
2007-08-09,4.5977
2007-08-10,8.7912
2007-08-13,0.0
2007-08-14,-6.0606
2007-08-15,2.1505
2007-08-16,-3.1579
2007-08-17,-4.3478
2007-08-20,2.2727
2007-08-21,3.3333
2007-08-22,-2.1505
2007-08-23,2.1978
2007-08-24,4.3011
2007-08-27,-2.0619
2007-08-28,-2.1053
2007-08-29,2.1505
2007-08-30,0.0
2007-08-31,0.0
2007-09-04,2.1053
2007-09-05,2.0619
2007-09-06,3.0303
2007-09-07,2.9412000000000003
2007-09-10,4.7619
2007-09-11,5.0
2007-09-12,-5.6277
2007-09-13,13.7615
2007-09-14,1.6129
2007-09-17,-0.3968
2007-09-18,-7.9681
2007-09-19,9.0909
2007-09-20,0.0
2007-09-21,0.7937
2007-09-24,-5.5118
2007-09-25,-0.8333
2007-09-26,0.0
2007-09-27,0.0
2007-09-28,-2.521
2007-10-01,-0.8621
2007-10-02,4.3478
2007-10-03,-1.6667
2007-10-04,3.3898
2007-10-05,1.6393
2007-10-08,-4.8387
2007-10-09,5.0847
2007-10-10,11.2903
2007-10-11,1.4493
2007-10-12,0.0
2007-10-15,-0.7143
2007-10-16,-1.4388
2007-10-17,-2.1898
2007-10-18,-5.9701
2007-10-19,-3.1746
2007-10-22,-13.9344
