ticker,NUUU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-26,100.0
2014-03-27,2.5
2014-03-28,-14.6341
2014-03-31,-14.2857
2014-04-01,-16.6667
2014-04-02,-24.0
2014-04-03,5.2632
2014-04-07,0.0
2014-04-08,-7.5
2014-04-09,10.8108
2014-04-10,-7.3171
2014-04-11,0.0
2014-04-14,-12.1053
2014-04-15,7.7844
2014-04-16,24.4444
2014-04-21,-1.7856999999999998
2014-04-22,-17.7273
2014-04-24,-0.5525
2014-04-28,-22.2222
2014-04-29,73.5714
2014-05-13,-32.0988
2014-05-14,20.0
2014-05-19,-0.5051
2014-05-23,-3.5533
2014-05-27,-21.0526
2014-05-28,0.0
2014-05-30,-6.6667
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,0.0
2014-06-05,-3.5714
2014-06-09,2.2222
2014-06-12,0.0
2014-06-13,-5.7971
2014-06-16,0.0
2014-06-17,15.3846
2014-06-18,33.3333
2014-06-23,-40.0
2014-06-24,25.0
2014-06-25,20.0
2014-06-26,-16.6667
2014-06-27,-6.6667
2014-07-02,-16.7143
2014-07-03,2.916
2014-07-07,0.0
2014-07-09,0.0
2014-07-10,-4.1667
2014-07-11,21.7391
2014-07-14,0.0
2014-07-15,-8.5714
2014-07-16,16.4063
2014-07-18,-12.7517
2014-07-21,7.6923
2014-07-22,0.0
2014-08-04,7.1429
2014-08-05,0.0
2014-08-06,-3.3333
2014-08-07,0.0
2014-08-11,3.4483
2014-08-12,-3.3333
2014-08-14,3.4483
2014-08-15,-2.6667
2014-08-18,15.7534
2014-08-19,-11.2426
2014-08-20,3.3333
2014-08-21,-2.5806
2014-08-22,-0.6623
2014-08-25,0.0
2014-08-26,6.0
2014-08-27,-5.0314
2014-08-28,2.649
2014-08-29,-3.2258
2014-09-02,-6.0
2014-09-03,5.6738
2014-09-04,4.698
2014-09-05,-0.641
2014-09-10,-7.0968
2014-09-11,4.1667
2014-09-12,-2.6667
2014-09-15,0.6849
2014-09-16,-7.483
2014-09-17,8.8235
2014-09-23,0.0
2014-09-30,-4.0541
2014-10-01,0.0
2014-10-02,-4.9296
2014-10-03,6.6667
2014-10-10,-1.3889
2014-10-13,-22.5352
2014-10-14,16.3636
2014-10-15,9.375
2014-10-16,-0.7143
2014-10-17,-2.1583
2014-10-21,-26.4706
2014-10-22,5.0
2014-10-27,-4.7619
2014-10-28,1.0
2014-10-29,1.9802
2014-10-30,-2.9126
2014-11-05,-10.0
2014-11-06,11.1111
2014-11-07,0.0
