ticker,FHB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-08-04,5.4348
2016-08-05,2.433
2016-08-08,-1.0467
2016-08-09,-0.6916
2016-08-10,0.1844
2016-08-11,1.5333999999999999
2016-08-12,0.7249
2016-08-15,1.1196
2016-08-16,-0.3163
2016-08-17,1.1503
2016-08-18,1.0588
2016-08-19,1.8626
2016-08-22,0.0
2016-08-23,1.2570999999999999
2016-08-24,-0.2257
2016-08-25,0.8673
2016-08-26,-0.6729
2016-08-29,-0.3011
2016-08-30,0.0755
2016-08-31,0.2641
2016-09-01,0.1129
2016-09-02,2.1796
2016-09-06,-3.1997
2016-09-07,0.038
2016-09-08,-0.6836
2016-09-09,1.4532
2016-09-12,0.7162
2016-09-13,-1.4969999999999999
2016-09-14,0.304
2016-09-15,-0.1894
2016-09-16,-0.6452
2016-09-19,2.33
2016-09-20,-0.0373
2016-09-21,0.9709
2016-09-22,-0.8876
2016-09-23,-0.1119
2016-09-26,-1.6436
2016-09-27,1.823
2016-09-28,-0.7087
2016-09-29,0.2254
2016-09-30,0.6747
2016-10-03,-1.6381000000000001
2016-10-04,1.2112
2016-10-05,-1.6455
2016-10-06,0.9886
2016-10-07,0.9789
2016-10-10,0.1491
2016-10-11,-1.0796999999999999
2016-10-12,-0.5645
2016-10-13,-0.9084
2016-10-14,0.6875
2016-10-17,-0.3794
2016-10-18,1.6756
2016-10-19,0.3371
2016-10-20,0.224
2016-10-21,-0.298
2016-10-24,1.9051
2016-10-25,-0.2566
2016-10-26,-1.029
2016-10-27,-0.1114
2016-10-28,0.5948
2016-10-31,0.813
2016-11-01,-1.7595
2016-11-02,-0.0746
2016-11-03,-0.0373
2016-11-04,-0.1494
2016-11-07,-0.1122
2016-11-08,-0.3745
2016-11-09,3.9098
2016-11-10,4.6671
2016-11-11,-0.3111
2016-11-14,3.5368
2016-11-15,-0.8372
2016-11-16,-0.439
2016-11-17,0.4071
2016-11-18,0.777
2016-11-21,2.179
2016-11-22,1.5748
2016-11-23,2.5517
2016-11-25,0.3487
2016-11-28,-2.5268
2016-11-29,-1.5554000000000001
2016-11-30,-1.2837
2016-12-01,4.6682
2016-12-02,0.446
2016-12-05,3.0764
2016-12-06,2.1231
2016-12-07,1.8077999999999999
2016-12-08,-0.5623
2016-12-09,0.1488
2016-12-12,-2.7935
2016-12-13,-0.7949
2016-12-14,-0.339
2016-12-15,1.5461
2016-12-16,-0.0609
2016-12-19,1.1578
2016-12-20,2.9518
2016-12-21,2.1358
