ticker,SFBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-14,-6.5934
2014-05-15,-1.8824
2014-05-16,-0.8393
2014-05-19,-2.1161
2014-05-20,-0.4571
2014-05-21,6.0933
2014-05-22,0.8188
2014-05-23,0.0812
2014-05-27,0.0812
2014-05-28,0.1158
2014-05-29,-0.1851
2014-05-30,-0.6144
2014-06-02,-1.8660999999999999
2014-06-03,1.6282
2014-06-04,-0.3041
2014-06-05,-0.2933
2014-06-06,0.7529
2014-06-09,0.5371
2014-06-10,0.1045
2014-06-11,0.3597
2014-06-12,0.0
2014-06-13,-0.5087
2014-06-16,0.2789
2014-06-17,0.197
2014-06-18,-0.1272
2014-06-19,1.5516
2014-06-20,0.4219
2014-06-23,3.0998
2014-06-24,-1.3987
2014-06-25,-1.0388
2014-06-26,0.8578
2014-06-27,-3.2901
2014-06-30,0.0116
2014-07-01,0.1388
2014-07-02,-0.2426
2014-07-03,0.4285
2014-07-07,-0.0578
2014-07-08,-1.0866
2014-07-09,-0.8648
2014-07-10,-0.7898
2014-07-11,0.1307
2014-07-14,-0.0119
2014-07-15,-0.1305
2014-07-16,0.1426
2014-07-17,0.7476
2014-07-18,0.742
2014-07-21,0.0351
2014-07-22,-0.0701
2014-07-23,-0.2105
2014-07-24,0.2461
2014-07-25,-0.0351
2014-07-28,0.0
2014-07-29,-0.2105
2014-07-30,0.211
2014-07-31,-1.0877
2014-08-01,1.2770000000000001
2014-08-04,-0.5254
2014-08-05,-0.5282
2014-08-06,0.6018
2014-08-07,0.2815
2014-08-08,-0.0351
2014-08-11,1.404
2014-08-12,0.4846
2014-08-13,1.619
2014-08-14,0.4068
2014-08-15,0.9115
2014-08-18,0.368
2014-08-19,-0.6667
2014-08-20,-0.8054
2014-08-21,0.6766
2014-08-22,-0.336
2014-08-25,0.0337
2014-08-26,2.0897
2014-08-27,-1.3206
2014-08-28,-0.6357
2014-08-29,1.5825
2014-09-02,-0.8949
2014-09-03,-0.5017
2014-09-04,0.0336
2014-09-05,0.2688
2014-09-08,0.2346
2014-09-09,-0.0669
2014-09-10,0.0
2014-09-11,-0.2342
2014-09-12,-0.1341
2014-09-15,1.3096
2014-09-16,-2.8505000000000003
2014-09-17,-0.3412
2014-09-18,-0.4108
2014-09-19,-1.8218999999999999
2014-09-22,-0.4202
2014-09-23,0.1758
2014-09-24,-0.702
2014-09-25,0.1414
2014-09-26,0.1059
2014-09-29,1.2341
2014-09-30,0.3135
2014-10-01,0.1042
2014-10-02,0.4162
