ticker,BRKK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-17,445.4545
2014-10-20,16.6667
2014-10-22,7.1429
2015-06-01,0.0
2015-06-03,-33.3333
2015-06-04,20.0
2015-06-05,9.5
2015-06-08,71.2329
2015-06-09,-24.5333
2015-06-11,0.1178
2015-06-12,0.0
2015-06-18,-74.7059
2015-06-19,109.3023
2015-06-23,44.4444
2015-06-24,0.0
2015-06-26,0.0
2015-07-15,-34.6154
2015-08-03,-8.2353
2015-08-05,-3.8462
2015-08-06,-6.6667
2015-08-12,-28.5714
2015-08-14,4.0
2015-08-21,-3.8462
2015-08-31,-34.0
2015-09-03,-12.1212
2015-09-11,24.1379
2015-09-18,0.0
2015-09-25,-5.5556
2015-10-15,17.647100000000002
2015-11-16,-12.5
2015-11-19,-14.2857
2015-12-04,6.6667
2015-12-08,0.0
2015-12-10,-9.375
2015-12-14,0.0
2015-12-16,37.931
2015-12-17,-22.5
2015-12-21,0.0
2015-12-22,29.0323
2015-12-30,1.0
2015-12-31,0.0
2016-01-11,88.1188
2016-01-20,123.6842
2016-01-25,-77.5294
2016-01-28,167.0157
2016-01-29,-62.549
2016-02-03,161.7801
2016-02-04,-56.0
2016-02-05,127.2727
2016-02-08,-56.0
2016-02-16,15.9091
2016-02-17,76.4706
2016-02-18,-29.9722
2016-02-19,-0.0397
2016-02-22,20.634900000000002
2016-02-23,-14.473700000000001
2016-02-24,0.0
2016-02-25,-4.6154
2016-02-26,22.5806
2016-02-29,-15.7895
2016-03-02,17.1875
2016-03-04,-9.3333
2016-03-07,4.4118
2016-03-08,1.4085
2016-03-09,8.3333
2016-03-10,2.5641
2016-03-11,-7.5
2016-03-16,2.7027
2016-03-17,7.8947
2016-03-21,-14.6341
2016-03-23,-5.7143
2016-03-31,-3.0303
2016-04-01,0.0
2016-04-04,-3.125
2016-04-06,0.0
2016-04-07,22.5806
2016-04-08,-2.6316
2016-04-11,0.0
2016-04-14,-27.027
2016-04-20,29.6296
2016-04-21,-22.8571
2016-04-26,-7.4074
2016-04-27,-4.0
2016-04-28,12.5
2016-04-29,11.1111
2016-05-06,6.6667
2016-05-09,0.0
2016-05-10,9.375
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,1.3214000000000001
2016-05-16,7.1554
2016-05-17,7.8947
2016-05-18,1.2195
2016-05-19,0.0
2016-05-20,-13.253
2016-05-23,15.2778
2016-05-24,-9.6386
2016-05-27,0.0
2016-05-31,9.3333
2016-06-01,-7.3476
