ticker,DSPA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-24,0.0
2008-04-25,-15.3846
2008-04-28,27.2727
2008-04-29,-14.2857
2008-04-30,10.0
2008-05-01,3.0303
2008-05-02,-11.7647
2008-05-05,1.6667
2008-05-06,-1.6393
2008-05-07,0.0
2008-05-08,0.0
2008-05-09,0.0
2008-05-12,0.0
2008-05-13,20.0
2008-05-14,0.0
2008-05-15,4.1667
2008-05-16,22.6667
2008-05-19,15.2174
2008-05-20,3.7736
2008-05-21,4.5455
2008-05-22,-6.9565
2008-05-23,7.4766
2008-05-27,0.0
2008-05-28,0.8696
2008-05-30,-9.4828
2008-06-03,-14.2857
2008-06-04,344.4444
2008-06-05,-72.0
2008-06-06,11.607099999999999
2008-06-09,-16.0
2008-06-10,9.5238
2008-06-11,-23.4783
2008-06-12,2.2727
2008-06-13,17.7778
2008-06-16,0.0
2008-06-17,-15.0943
2008-06-18,4.4444
2008-06-23,-4.2553
2008-06-24,-1.1111
2008-06-25,-4.4944
2008-06-26,5.8824
2008-06-27,0.0
2008-07-07,-3.3333
2008-07-08,3.4483
2008-07-09,0.0
2008-07-10,-12.2222
2008-07-11,1.2658
2008-07-15,12.5
2008-07-16,-11.1111
2008-07-18,6.25
2008-07-22,-16.4706
2008-07-25,-15.493
2008-07-28,0.0
2008-07-29,-8.3333
2008-07-30,9.0909
2008-07-31,-25.0
2008-08-01,22.2222
2008-08-04,-5.4545
2008-08-06,-3.8462
2008-08-07,-10.0
2008-08-08,66.6667
2008-08-12,-26.6667
2008-08-13,0.0
2008-08-14,9.0909
2008-08-15,-8.3333
2008-08-18,0.0
2008-08-19,3.6364
2008-08-20,0.0
2008-08-21,14.0351
2008-08-22,7.6923
2008-08-25,7.1429
2008-08-26,0.0
2008-08-27,0.0
2008-08-28,0.0
2008-09-02,0.0
2008-09-03,0.0
2008-09-04,6.6667
2008-09-08,0.0
2008-10-01,-12.5
2008-10-02,-24.2857
2008-10-06,-15.0943
2008-10-10,-11.1111
2008-10-13,-2.5
2008-10-15,0.0
2008-10-17,0.0
2008-10-22,-10.2564
2008-10-23,0.0
2008-10-24,-14.2857
2008-10-30,0.0
2008-10-31,0.0
2008-11-04,3.3333
2008-11-06,-3.2258
2008-11-07,0.0
2008-11-11,-33.3333
2008-11-13,-25.0
2008-11-14,33.3333
2008-11-17,0.0
2008-11-18,0.0
2008-11-20,0.0
2008-11-24,-5.0
2008-12-10,-5.2632
2008-12-11,5.5556
2008-12-22,-57.8947
