ticker,IFHI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-01,0.0
2015-04-06,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,2.0
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.3268
2015-04-30,0.0
2015-05-01,-0.3257
2015-05-04,-0.6536
2015-05-05,-0.6579
2015-05-06,-0.6623
2015-05-07,1.0
2015-05-08,0.0
2015-05-11,-0.9901
2015-05-12,0.0
2015-05-13,0.0
2015-05-14,0.0
2015-05-15,-0.3333
2015-05-18,0.3344
2015-05-19,1.0
2015-05-20,0.33
2015-05-21,-1.3158
2015-05-22,-0.0667
2015-05-27,0.0667
2015-06-01,0.0
2015-06-04,-1.3333
2015-06-05,1.3514
2015-06-10,-1.3333
2015-06-11,0.6757
2015-06-16,-0.6711
2015-06-17,1.3514
2015-06-19,1.3333
2015-06-29,-0.7237
2015-07-06,-1.2591
2015-07-07,0.604
2015-07-09,-2.535
2015-07-10,1.9849
2015-07-13,1.3423
2015-07-14,0.6623
2015-07-15,0.3289
2015-07-16,0.0
2015-07-17,3.2787
2015-07-20,1.5873
2015-07-21,9.375
2015-07-22,-8.0
2015-07-24,11.8012
2015-07-27,5.5556
2015-07-30,-1.0526
2015-08-03,0.0
2015-08-12,0.0
2015-08-14,0.0
2015-08-17,1.0638
2015-08-18,0.0
2015-08-20,-0.5263
2015-08-21,0.2646
2015-08-24,0.7916
2015-08-27,-0.5236
2015-09-02,5.2632
2015-09-03,0.0
2015-09-10,5.0
2015-09-11,-1.1905000000000001
2015-09-14,6.0241
2015-09-15,0.0
2015-09-16,4.5455
2015-09-17,-2.1739
2015-09-18,1.1111
2015-09-22,-1.0989
2015-09-23,1.1111
2015-09-24,-0.2198
2015-09-28,-3.0837
2015-09-30,4.5455
2015-10-01,0.0
2015-10-06,-2.1739
2015-10-07,-2.2222
2015-10-08,1.1364
2015-10-09,0.0
2015-10-12,0.0
2015-10-14,1.1236
2015-10-22,-1.1111
2015-10-26,0.0
2015-10-29,-1.3483
2015-10-30,-1.139
2015-11-02,0.0
2015-11-04,-0.9217
2015-11-05,0.0
2015-11-06,0.0
2015-11-09,1.1628
2015-11-12,1.1494
2015-11-16,0.0
2015-11-19,-0.6818
2015-11-20,0.0
2015-12-02,-0.4577
