ticker,WINSF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-14,0.0
2014-11-19,-2.9268
2014-11-21,1.9095
2014-11-25,-2.071
2014-12-03,-0.4028
2014-12-04,0.5056
2015-01-26,-1.4085
2015-02-02,1.4285999999999999
2015-02-05,-0.354
2015-02-12,0.1533
2015-05-06,0.0
2015-05-15,0.0
2015-05-18,0.0
2015-05-19,0.0
2015-06-05,-0.504
2015-06-15,-6.787
2015-06-16,-0.0014
2015-06-22,7.7174
2015-06-26,-1.1743000000000001
2015-06-29,1.5967
2015-06-30,0.0
2015-07-09,-3.1156
2015-07-13,2.0747
2015-07-14,-1.4228
2015-07-15,0.2062
2015-07-16,1.1317
2015-07-20,1.2208
2015-07-21,0.0
2015-07-22,-0.1828
2015-07-28,0.1831
2015-08-07,-1.005
2015-08-14,1.014
2015-08-21,0.0013
2015-08-24,0.0
2015-08-27,-1.005
2015-08-28,1.0152
2015-09-04,0.0
2015-09-08,0.0
2015-09-29,0.0
2015-10-02,0.3015
2015-10-06,0.0
2015-10-07,-2.7042
2015-10-09,3.19
2015-10-13,-0.6974
2015-10-14,0.402
2015-10-15,0.1001
2015-10-16,0.7
2015-10-22,-3.575
2015-10-27,0.0
2015-10-29,-16.0659
2015-10-30,-17.6687
2015-11-02,-0.149
2015-11-03,0.0
2015-11-04,0.0
2015-11-05,3.7313
2015-11-06,20.8633
2015-11-09,2.9762
2015-11-10,2.3121
2015-11-11,-2.8234
2015-11-12,3.4869
2015-11-13,0.5618
2015-11-16,-0.5587
2015-11-17,6.6292
2015-11-18,-3.8988
2015-11-19,1.8639999999999999
2015-11-20,-0.7535
2015-11-23,1.41
2015-11-24,2.0749
2015-11-25,0.482
2015-11-27,2.7125
2015-11-30,4.0596
2015-12-01,12.9268
2015-12-02,2.7991
2015-12-03,-0.1597
2015-12-04,-4.8822
2015-12-07,6.1947
2015-12-08,-2.0833
2015-12-09,1.9574
2015-12-10,-0.4174
2015-12-11,-0.2263
2015-12-14,-1.2854
2015-12-15,2.1277
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,0.6667
2015-12-21,0.0828
2015-12-22,-1.2913999999999999
2015-12-23,0.5541
2015-12-24,1.9167
2015-12-28,-1.063
2015-12-29,-1.6529
2015-12-30,0.4202
2015-12-31,0.4184
2016-01-04,2.5
2016-01-05,-0.2673
2016-01-06,-0.5472
2016-01-07,0.7746
2016-01-08,-0.4433
2016-01-11,-0.0817
2016-01-12,0.5724
2016-01-13,-0.4878
