ticker,MWK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-12,0.0
2019-06-13,-8.3
2019-06-14,-7.3064
2019-06-17,-17.0588
2019-06-18,1.4184
2019-06-19,-9.0909
2019-06-20,-4.3077
2019-06-21,1.4469
2019-06-24,6.1807
2019-06-25,5.5224
2019-06-26,7.6379
2019-06-27,4.862
2019-06-28,1.1278
2019-07-01,-2.8501
2019-07-02,-6.25
2019-07-03,-0.5442
2019-07-05,4.5144
2019-07-08,-6.2827
2019-07-09,4.7486
2019-07-10,-0.8
2019-07-11,-2.5538
2019-07-12,0.4138
2019-07-15,0.0
2019-07-16,3.022
2019-07-17,-2.0
2019-07-18,0.8163
2019-07-19,1.2146
2019-07-22,-0.0667
2019-07-23,0.0667
2019-07-24,-3.4667
2019-07-25,-2.6243
2019-07-26,3.1206
2019-07-29,-1.9945
2019-07-30,-2.3158
2019-07-31,0.8621
2019-08-01,-8.7023
2019-08-02,-2.6384
2019-08-05,0.9615
2019-08-06,5.5556
2019-08-07,-6.3158
2019-08-08,4.3339
2019-08-09,4.9231
2019-08-12,6.305
2019-08-13,0.6897
2019-08-14,-5.0685
2019-08-15,5.1948
2019-08-16,-2.9492000000000003
2019-08-19,0.3534
2019-08-20,-5.493
2019-08-21,10.2832
2019-08-22,7.973
2019-08-23,5.5069
2019-08-26,-0.2372
2019-08-27,0.3567
2019-08-28,4.0284
2019-08-29,5.2392
2019-08-30,-4.1126
2019-09-03,-7.4492
2019-09-04,-1.3415
2019-09-05,16.5637
2019-09-06,-4.3478
2019-09-09,-8.3149
2019-09-10,-3.5671
2019-09-11,-0.1881
2019-09-12,-5.9045
2019-09-13,6.275
2019-09-16,0.3769
2019-09-17,-1.8773
2019-09-18,-4.2092
2019-09-19,-4.5273
2019-09-20,0.8368
2019-09-23,1.9364
2019-09-24,-1.3569
2019-09-25,-1.5131000000000001
2019-09-26,8.2402
2019-09-27,-0.7742
2019-09-30,1.6905000000000001
2019-10-01,-4.7315000000000005
2019-10-02,-4.698
2019-10-03,-0.7042
2019-10-04,0.5674
2019-10-07,-4.7955
2019-10-08,-1.1852
2019-10-09,-0.2999
2019-10-10,3.1579
2019-10-11,-0.8746
2019-10-14,-1.7647
2019-10-15,0.2994
2019-10-16,4.4776
2019-10-17,0.8571
2019-10-18,-1.4163999999999999
2019-10-21,-1.4368
2019-10-22,-0.8746
2019-10-23,0.0
2019-10-24,-1.0294
2019-10-25,-3.4175
2019-10-28,3.5385
2019-10-29,-5.2006
