ticker,REDU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-20,14.5517
2017-10-23,-8.8501
2017-10-24,-5.7463999999999995
2017-10-25,-14.4359
2017-10-26,0.7371
2017-10-27,11.7073
2017-10-30,4.5123999999999995
2017-10-31,-1.532
2017-11-01,-8.628
2017-11-02,-0.5418
2017-11-03,3.7354000000000003
2017-11-06,1.8005
2017-11-07,-6.0427
2017-11-08,-3.451
2017-11-09,-1.4622
2017-11-10,-5.8533
2017-11-13,-5.3415
2017-11-14,-4.5328
2017-11-15,-5.814
2017-11-16,1.749
2017-11-17,8.089
2017-11-20,-8.512599999999999
2017-11-21,-0.3067
2017-11-22,3.1795
2017-11-24,-4.2744
2017-11-27,9.9688
2017-11-28,-6.3267
2017-11-29,0.504
2017-11-30,2.006
2017-12-01,-1.0816
2017-12-04,0.0994
2017-12-05,2.9791
2017-12-06,1.8322
2017-12-07,2.3674
2017-12-08,3.1452
2017-12-11,5.4709
2017-12-12,4.5918
2017-12-13,-2.6829
2017-12-14,1.9215
2017-12-15,1.3115
2017-12-18,-0.1618
2017-12-19,2.188
2017-12-20,-0.6344
2017-12-21,0.1596
2017-12-22,-0.3984
2017-12-26,2.4
2017-12-27,11.25
2017-12-28,2.6685
2017-12-29,1.1628
2018-01-02,0.6085
2018-01-03,2.8898
2018-01-04,-1.3063
2018-01-05,-0.728
2018-01-08,-0.4
2018-01-09,-3.012
2018-01-10,2.8986
2018-01-11,0.4695
2018-01-12,-0.1335
2018-01-16,-2.1390000000000002
2018-01-17,2.1858
2018-01-18,-0.0668
2018-01-19,9.0301
2018-01-22,0.0
2018-01-23,-1.4724
2018-01-24,2.1171
2018-01-25,-0.3659
2018-01-26,-0.2448
2018-01-29,1.227
2018-01-30,-0.303
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,-2.7356
2018-02-05,-12.5
2018-02-06,11.5
2018-02-07,1.2172
2018-02-08,-3.3544
2018-02-09,1.7682
2018-02-12,2.7671
2018-02-13,0.1879
2018-02-14,2.125
2018-02-15,0.7956
2018-02-16,-0.4857
2018-02-20,-0.061
2018-02-21,-0.4274
2018-02-22,-1.5328
2018-02-23,2.6151999999999997
2018-02-26,-3.3981
2018-02-27,3.5804
2018-02-28,0.0
2018-03-01,-5.7004
2018-03-02,-1.0932
2018-03-05,0.065
2018-03-06,2.924
2018-03-07,-0.1894
2018-03-08,-1.012
2018-03-09,0.1278
2018-03-12,8.9981
2018-03-13,1.9321000000000002
2018-03-14,-1.8955
