ticker,MBLU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-11-19,-13.3333
2019-11-20,0.0
2019-11-21,0.0
2019-11-22,0.0
2020-01-24,2.0882
2020-01-27,0.0
2020-01-28,-0.3788
2020-01-29,-0.1521
2020-01-30,-0.8378
2020-01-31,-0.1536
2020-02-19,-0.6154
2020-02-21,0.6192
2020-02-26,-0.6154
2020-02-28,0.0774
2020-03-04,0.0
2020-03-09,-5.1322
2020-03-12,-1.8689
2020-03-18,-4.7778
2020-03-23,-14.0351
2020-03-24,0.0
2020-03-27,2.0408
2020-04-01,0.0
2020-04-13,-2.0
2020-04-14,2.0408
2020-04-21,-3.9
2020-04-28,-1.1446
2020-05-14,15.7895
2020-06-01,0.6404
2020-06-19,10.9091
2020-06-22,-0.3279
2020-06-26,-1.3158
2020-07-06,-11.6667
2020-07-22,2.0755
2020-07-24,12.7542
