ticker,MGRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.7143
2000-01-04,-2.518
2000-01-05,-0.369
2000-01-06,3.7037
2000-01-07,-2.1429
2000-01-10,-2.1898
2000-01-11,0.0
2000-01-12,2.209
2000-01-13,0.7353
2000-01-14,-4.7445
2000-01-18,-2.682
2000-01-19,-0.7874
2000-01-20,0.7937
2000-01-21,-3.1496
2000-01-24,-1.626
2000-01-25,-1.6529
2000-01-26,0.0
2000-01-27,4.6218
2000-01-28,2.8112
2000-01-31,4.6875
2000-02-01,-8.3955
2000-02-02,5.9063
2000-02-03,5.3846
2000-02-04,0.0
2000-02-07,-3.6496
2000-02-08,-3.0303
2000-02-09,3.125
2000-02-10,-1.5152
2000-02-11,0.0
2000-02-14,1.1538
2000-02-15,0.3802
2000-02-16,0.0
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,0.3788
2000-02-23,1.8868
2000-02-24,3.7037
2000-02-25,-3.5714
2000-02-28,-1.1111
2000-02-29,1.1236
2000-03-01,-1.4815
2000-03-02,0.3759
2000-03-03,-1.1236
2000-03-06,0.0
2000-03-07,5.303
2000-03-08,-2.1583
2000-03-09,-2.9412000000000003
2000-03-10,3.0303
2000-03-13,-3.6765
2000-03-14,1.9083999999999999
2000-03-15,-0.7491
2000-03-16,2.2641999999999998
2000-03-17,-1.107
2000-03-20,-5.9701
2000-03-21,2.3810000000000002
2000-03-22,0.7752
2000-03-23,2.3077
2000-03-24,-5.6391
2000-03-27,0.0
2000-03-28,0.0
2000-03-29,-2.7888
2000-03-30,1.6393
2000-03-31,2.4194
2000-04-03,-0.7874
2000-04-04,-1.5873
2000-04-05,4.0323
2000-04-06,-0.7752
2000-04-07,0.0
2000-04-10,-4.6875
2000-04-11,-0.8197
2000-04-12,6.7107
2000-04-13,-7.8125
2000-04-14,-1.6949
2000-04-17,-3.4483
2000-04-18,14.2857
2000-04-19,-1.5625
2000-04-20,1.5873
2000-04-24,-6.6406
2000-04-25,2.0921
2000-04-26,2.459
2000-04-27,1.6
2000-04-28,0.9843
2000-05-01,-2.924
2000-05-02,2.4096
2000-05-03,-2.7451
2000-05-04,0.0
2000-05-05,4.8387
2000-05-08,-3.0769
2000-05-09,-1.5873
2000-05-10,-1.6129
2000-05-11,-4.5082
2000-05-12,13.3047
2000-05-15,0.0
2000-05-16,0.7576
2000-05-17,-6.015
2000-05-18,1.2
2000-05-19,-8.3004
2000-05-22,0.0
2000-05-23,0.0
2000-05-24,3.4483
