ticker,CARS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-19,-0.3241
2017-05-22,1.626
2017-05-23,3.2
2017-05-24,4.845
2017-05-25,0.9242
2017-05-26,-2.4908
2017-05-30,-2.7047
2017-05-31,-1.1969
2017-06-01,6.6041
2017-06-02,-0.8431
2017-06-05,3.1054
2017-06-06,4.4818999999999996
2017-06-07,-6.8291
2017-06-08,-4.9355
2017-06-09,0.0
2017-06-12,0.5037
2017-06-13,-0.2699
2017-06-14,-1.0823
2017-06-15,-0.9769
2017-06-16,3.2359999999999998
2017-06-19,3.211
2017-06-20,-0.3704
2017-06-21,0.5576
2017-06-22,1.9593
2017-06-23,2.248
2017-06-26,0.0355
2017-06-27,-2.3396
2017-06-28,0.0363
2017-06-29,-2.5036
2017-06-30,-0.8932
2017-07-03,1.6898
2017-07-05,-0.1477
2017-07-06,-2.4408
2017-07-07,-2.0849
2017-07-10,0.4646
2017-07-11,-2.6975
2017-07-12,0.6337
2017-07-13,-1.4168
2017-07-14,-3.6727
2017-07-17,0.8288
2017-07-18,-1.5208
2017-07-19,-2.9633000000000003
2017-07-20,-0.5591
2017-07-21,3.8927
2017-07-24,-1.0824
2017-07-25,1.5993
2017-07-26,2.5684
2017-07-27,-2.5444
2017-07-28,0.6631
2017-07-31,0.0412
2017-08-01,1.07
2017-08-02,-1.3844
2017-08-03,2.0231
2017-08-04,-0.3238
2017-08-07,-0.1218
2017-08-08,-1.626
2017-08-09,1.8595000000000002
2017-08-10,0.1623
2017-08-11,0.1215
2017-08-14,0.0809
2017-08-15,2.021
2017-08-16,0.0396
2017-08-17,-1.901
2017-08-18,-1.2515
2017-08-21,-1.1856
2017-08-22,0.0827
2017-08-23,0.0
2017-08-24,0.0413
2017-08-25,4.7107
2017-08-28,3.3544
2017-08-29,0.3055
2017-08-30,-1.3323
2017-08-31,-0.2315
2017-09-01,1.7401
2017-09-05,1.0642
2017-09-06,2.2941
2017-09-07,0.8088
2017-09-08,-2.0788
2017-09-11,0.5587
2017-09-12,-0.7407
2017-09-13,0.8209
2017-09-14,-1.1843
2017-09-15,-2.1348
2017-09-18,-0.5741
2017-09-19,0.8083
2017-09-20,-1.2218
2017-09-21,-1.237
2017-09-22,3.4834
2017-09-25,-1.702
2017-09-26,2.5779
2017-09-27,0.3376
2017-09-28,-0.5607
2017-09-29,0.0376
2017-10-02,0.6764
2017-10-03,2.4263
2017-10-04,2.1866
2017-10-05,2.1755
2017-10-06,0.2094
2017-10-09,-3.0651
