ticker,NSLPQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-08,-2.55
2013-02-11,0.3079
2013-02-12,1.2788
2013-02-13,0.2525
2013-02-14,0.2015
2013-02-15,0.3519
2013-02-19,-0.1503
2013-02-20,0.0
2013-02-21,0.2007
2013-02-22,0.1502
2013-02-25,-0.5
2013-02-26,0.5025
2013-02-27,0.0
2013-02-28,0.25
2013-03-01,0.5985
2013-03-04,-0.1487
2013-03-05,-1.142
2013-03-06,0.452
2013-03-07,0.0
2013-03-08,0.25
2013-03-11,-1.2469000000000001
2013-03-12,0.2525
2013-03-13,0.9068
2013-03-14,-0.5985
2013-03-15,0.9034
2013-03-18,-0.1493
2013-03-19,-0.2991
2013-03-20,-0.7
2013-03-21,0.0504
2013-03-22,0.4026
2013-03-25,0.0
2013-03-26,-0.1504
2013-03-27,0.0
2013-03-28,1.9076
2013-04-01,-2.266
2013-04-02,2.873
2013-04-03,-1.0779
2013-04-04,0.7925
2013-04-05,-0.1474
2013-04-08,1.0335
2013-04-09,-1.2098
2013-04-10,1.0767
2013-04-11,-1.1219999999999999
2013-04-12,0.888
2013-04-15,-2.3472
2013-04-16,2.3035
2013-04-17,-0.1958
2013-04-18,-0.1471
2013-04-19,0.9332
2013-04-22,0.0
2013-04-23,1.2165
2013-04-24,-0.2404
2013-04-25,-1.2048
2013-04-26,0.0
2013-04-29,-0.0772
2013-04-30,1.4349
2013-05-01,-0.2439
2013-05-02,-0.8313
2013-05-03,0.0444
2013-05-06,-1.3751
2013-05-07,0.4498
2013-05-08,0.796
2013-05-09,-0.3455
2013-05-10,0.3467
2013-05-13,0.8391
2013-05-14,0.2447
2013-05-15,1.8066
2013-05-16,-0.1439
2013-05-17,-0.7205
2013-05-20,0.7741
2013-05-21,0.6241
2013-05-22,-1.479
2013-05-23,1.2107
2013-05-24,1.244
2013-05-28,-0.0473
2013-05-29,0.1418
2013-05-30,0.0
2013-05-31,0.5194
2013-06-03,-0.4227
2013-06-04,0.1887
2013-06-05,-0.565
2013-06-06,-0.3314
2013-06-07,-0.2375
2013-06-10,1.0952
2013-06-11,-1.0363
2013-06-12,0.8567
2013-06-13,-1.8877000000000002
2013-06-14,-0.4329
2013-06-17,0.8696
2013-06-18,-0.3831
2013-06-19,-0.2404
2013-06-20,-1.4458
2013-06-21,-0.5397
2013-06-24,-3.2922000000000002
2013-06-25,1.7292
2013-06-26,0.9489
2013-06-27,0.4455
2013-06-28,0.5421
2013-07-01,2.3529
2013-07-02,0.5747
