ticker,ADVM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-31,64.6471
2014-08-01,-10.1108
2014-08-04,-3.6169000000000002
2014-08-05,-6.8041
2014-08-06,3.4071
2014-08-07,-1.5832000000000002
2014-08-08,2.3478
2014-08-11,0.8921
2014-08-12,0.6737
2014-08-13,1.9657
2014-08-14,7.3421
2014-08-15,4.1651
2014-08-18,3.8151
2014-08-19,9.0106
2014-08-20,2.3663
2014-08-21,-4.5282
2014-08-22,1.2272
2014-08-25,-0.8847
2014-08-26,-3.2397
2014-08-27,0.7175
2014-08-28,-0.1696
2014-08-29,0.6796
2014-09-02,2.0587
2014-09-03,1.1905000000000001
2014-09-04,-0.1634
2014-09-05,1.6367
2014-09-08,-3.8647
2014-09-09,0.469
2014-09-10,2.5008
2014-09-11,5.4977
2014-09-12,10.0833
2014-09-15,-7.479
2014-09-16,-1.756
2014-09-17,1.0169
2014-09-18,-3.7523
2014-09-19,-1.4263
2014-09-22,5.7235
2014-09-23,2.1593999999999998
2014-09-24,1.9946000000000002
2014-09-25,2.9189
2014-09-26,2.0987
2014-09-29,0.9722
2014-09-30,-5.9422
2014-10-01,-5.6157
2014-10-02,6.1977
2014-10-03,-1.6633
2014-10-06,0.8605
2014-10-07,-7.208
2014-10-08,-0.6024
2014-10-09,-3.1898
2014-10-10,-1.4827
2014-10-13,1.2375
2014-10-14,-0.9911
2014-10-15,2.0687
2014-10-16,-0.5884
2014-10-17,-0.6577
2014-10-20,0.0
2014-10-21,8.143
2014-10-22,-0.0918
2014-10-23,3.8603
2014-10-24,0.944
2014-10-27,-1.841
2014-10-28,-0.5656
2014-10-29,0.3892
2014-10-30,6.442
2014-10-31,0.5324
2014-11-03,0.2787
2014-11-04,1.1395
2014-11-05,-7.9143
2014-11-06,3.7004
2014-11-07,0.7194
2014-11-10,-1.7143000000000002
2014-11-11,-3.7209
2014-11-12,1.6002
2014-11-13,2.8232
2014-11-14,-1.8497
2014-11-17,-3.3863
2014-11-18,2.9869
2014-11-19,-3.4034
2014-11-20,3.5846
2014-11-21,2.4549
2014-11-24,2.9734
2014-11-25,8.4665
2014-11-26,3.8253
2014-11-28,-1.6928
2014-12-01,-3.925
2014-12-02,5.0343
2014-12-03,3.3124000000000002
2014-12-04,2.4775
2014-12-05,3.105
2014-12-08,1.7471
2014-12-09,6.1003
2014-12-10,-0.4046
2014-12-11,6.7137
2014-12-12,1.1621
2014-12-15,1.5449000000000002
2014-12-16,-0.9362
2014-12-17,-0.6694
