ticker,QNST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-11,0.0
2010-02-12,-3.0
2010-02-16,0.5498
2010-02-17,-0.2734
2010-02-18,-0.5483
2010-02-19,-4.204
2010-02-22,-2.1942
2010-02-23,-4.5237
2010-02-24,4.5455
2010-02-25,5.3058
2010-02-26,2.1693
2010-03-01,0.6164
2010-03-02,-1.5657
2010-03-03,-1.5213999999999999
2010-03-04,2.2472
2010-03-05,4.6016
2010-03-08,1.0506
2010-03-09,-2.1442
2010-03-10,2.2576
2010-03-11,1.039
2010-03-12,-0.3213
2010-03-15,-3.5461
2010-03-16,6.6176
2010-03-17,8.1505
2010-03-18,-3.6522
2010-03-19,-0.361
2010-03-22,1.2077
2010-03-23,-0.537
2010-03-24,-2.2196
2010-03-25,-1.5337
2010-03-26,2.243
2010-03-29,3.1079
2010-03-30,-0.1773
2010-03-31,0.7105
2010-04-01,-1.8812
2010-04-05,4.5536
2010-04-06,2.0057
2010-04-07,-2.0225
2010-04-08,-2.0069
2010-04-09,-3.6864
2010-04-12,-1.4581
2010-04-13,-0.4932
2010-04-14,1.9827
2010-04-15,2.5516
2010-04-16,-1.2441
2010-04-19,-3.1794000000000002
2010-04-20,-0.7435
2010-04-21,-2.0599
2010-04-22,2.6131
2010-04-23,3.1677
2010-04-26,-1.6857
2010-04-27,-2.0208
2010-04-28,2.75
2010-04-29,2.7372
2010-04-30,0.0
2010-05-03,4.4405
2010-05-04,-3.9116
2010-05-05,-7.2566
2010-05-06,-1.3359
2010-05-07,-0.5158
2010-05-10,9.9157
2010-05-11,-2.5943
2010-05-12,3.8136
2010-05-13,-2.6239
2010-05-14,-2.0958
2010-05-17,2.9969
2010-05-18,-1.3658000000000001
2010-05-19,-1.9868000000000001
2010-05-20,-6.1425
2010-05-21,-1.8979
2010-05-24,-1.6011
2010-05-25,1.1525
2010-05-26,0.2681
2010-05-27,-1.0027
2010-05-28,-6.212
2010-06-01,-0.6479
2010-06-02,1.087
2010-06-03,0.4301
2010-06-04,-5.4247
2010-06-07,-3.1698
2010-06-08,-6.4692
2010-06-09,1.1667
2010-06-10,1.1532
2010-06-11,1.3844
2010-06-14,-4.9799
2010-06-15,0.8453
2010-06-16,0.6706
2010-06-17,2.6644
2010-06-18,3.8118
2010-06-21,1.6406
2010-06-22,-1.2298
2010-06-23,-1.5564
2010-06-24,-2.3715
2010-06-25,-0.8907
2010-06-28,-0.3268
2010-06-29,-2.623
2010-06-30,-3.1145
2010-07-01,-4.4309
