ticker,TME US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-12,7.6923
2018-12-13,-3.5
2018-12-14,-5.1813
2018-12-17,-5.3084
2018-12-18,1.4015
2018-12-19,-0.9756
2018-12-20,0.0821
2018-12-21,0.0
2018-12-24,-1.5587
2018-12-26,4.0
2018-12-27,8.2532
2018-12-28,-0.8142
2018-12-31,-1.3433
2019-01-02,-1.6641
2019-01-03,-4.3077
2019-01-04,6.1093
2019-01-07,-2.9545
2019-01-08,1.4832
2019-01-09,0.1538
2019-01-10,0.0768
2019-01-11,-1.0744
2019-01-14,-5.353
2019-01-15,1.8033000000000001
2019-01-16,4.6699
2019-01-17,-0.2308
2019-01-18,10.6399
2019-01-22,3.1359
2019-01-23,1.0135
2019-01-24,6.4214
2019-01-25,-4.0226
2019-01-28,-1.2443
2019-01-29,1.9231
2019-01-30,-2.2121
2019-01-31,-0.5323
2019-02-01,-6.7559000000000005
2019-02-04,6.5280000000000005
2019-02-05,1.2121
2019-02-06,-0.5323
2019-02-07,0.0669
2019-02-08,-1.738
2019-02-11,2.2449
2019-02-12,6.5203
2019-02-13,-0.8745
2019-02-14,7.0573
2019-02-15,-4.8264
2019-02-19,5.504
2019-02-20,0.7034
2019-02-21,-1.6298
2019-02-22,5.3846
2019-02-25,5.2779
2019-02-26,-4.5333
2019-02-27,3.2961
2019-02-28,-2.5419
2019-03-01,0.9989
2019-03-04,-0.1648
2019-03-05,1.4309
2019-03-06,0.2713
2019-03-07,-2.5433
2019-03-08,-4.9417
2019-03-11,4.5561
2019-03-12,2.2346
2019-03-13,-2.2404
2019-03-14,-1.1738
2019-03-15,3.3371
2019-03-18,4.5977
2019-03-19,-2.8257
2019-03-20,-10.2854
2019-03-21,4.7419
2019-03-22,-2.6934
2019-03-25,0.8245
2019-03-26,-0.7009
2019-03-27,0.4118
2019-03-28,0.8202
2019-03-29,5.1714
2019-04-01,3.9227
2019-04-02,0.2658
2019-04-03,0.9544
2019-04-04,-3.9916
2019-04-05,-0.2735
2019-04-08,0.5485
2019-04-09,-3.7643
2019-04-10,1.8707
2019-04-11,-0.2782
2019-04-12,2.0647
2019-04-15,-4.0459
2019-04-16,2.2222
2019-04-17,3.5117000000000003
2019-04-18,-1.8848
2019-04-22,-1.3172
2019-04-23,-3.1146
2019-04-24,1.3777
2019-04-25,-2.6048
2019-04-26,1.2209
2019-04-29,2.2401
2019-04-30,-3.3708
2019-05-01,0.5814
2019-05-02,-1.7341
2019-05-03,2.1765
