ticker,BGEM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-26,11.1111
2009-12-01,-10.0
2009-12-09,22.2222
2009-12-10,21.5909
2009-12-11,30.4673
2009-12-14,85.9599
2009-12-15,-21.5716
2009-12-16,2.1611
2009-12-17,14.9038
2009-12-18,-3.2322
2009-12-21,-20.441
2009-12-22,-34.3478
2009-12-23,13.245
2009-12-24,-10.8187
2009-12-28,-1.9672
2009-12-29,-12.3746
2009-12-30,-11.2595
2009-12-31,20.4301
2010-01-04,3.5714
2010-01-05,-5.1724
2010-01-06,-13.6364
2010-01-07,-3.1579
2010-01-08,4.3478
2010-01-11,-8.3333
2010-01-12,-6.8182
2010-01-13,-2.9268
2010-01-14,-7.0352
2010-01-15,41.8919
2010-01-19,-0.9524
2010-01-20,-3.8462
2010-01-21,-12.8
2010-01-22,5.5046
2010-01-25,-4.3478
2010-01-26,4.5455
2010-01-27,-3.9130000000000003
2010-01-28,4.0724
2010-01-29,2.1739
2010-02-01,6.383
2010-02-02,24.0
2010-02-03,8.0645
2010-02-04,-13.1343
2010-02-05,3.0928
2010-02-08,-8.3333
2010-02-09,-12.0
2010-02-10,-2.8926
2010-02-11,2.1277
2010-02-12,-4.1667
2010-02-16,-8.6957
2010-02-17,9.5238
2010-02-18,-8.2609
2010-02-19,3.0806
2010-02-22,-1.1494
2010-02-23,-2.3256
2010-02-24,0.0
2010-02-25,0.0
2010-02-26,-4.2857
2010-03-01,-0.4975
2010-03-02,-2.5
2010-03-03,0.0
2010-03-04,-2.5641
2010-03-05,0.0
2010-03-08,-3.6842
2010-03-09,-1.6393
2010-03-10,-2.2222
2010-03-11,9.6591
2010-03-12,-4.1451
2010-03-15,-4.8649000000000004
2010-03-16,2.2727
2010-03-17,-5.5556
2010-03-18,-2.9412000000000003
2010-03-19,-3.0303
2010-03-22,-25.0
2010-03-23,-4.1667
2010-03-24,21.7391
2010-03-25,14.2857
2010-03-26,-6.25
2010-03-29,-6.6667
2010-03-30,-7.1429
2010-03-31,-7.6923
2010-04-01,0.0
2010-04-05,16.6667
2010-04-06,0.0
2010-04-07,-7.1429
2010-04-08,0.0
2010-04-09,7.6923
2010-04-12,-2.8571
2010-04-13,-4.4118
2010-04-14,15.3846
2010-04-15,20.0
2010-04-16,38.8194
2010-04-19,-19.884900000000002
2010-04-20,-5.089
2010-04-21,-5.2632
2010-04-22,0.0
2010-04-23,-5.5556
2010-04-26,-5.0
2010-04-27,2.1672
2010-04-28,-2.4242
