ticker,MRTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-07-15,98.5915
2013-07-16,13.617
2013-07-17,6.1174
2013-07-18,8.2353
2013-07-19,-2.1739
2013-07-22,11.1111
2013-07-23,-5.0
2013-07-24,-5.1579
2013-07-25,-0.111
2013-07-26,-5.5556
2013-07-29,0.0
2013-07-30,-2.9412000000000003
2013-08-01,3.0303
2013-08-02,-2.3529
2013-08-05,1.4458
2013-08-06,0.7126
2013-08-07,-0.9434
2013-08-08,1.0714
2013-08-09,-2.4124
2013-08-12,1.3858
2013-08-13,1.1905000000000001
2013-08-14,0.0
2013-08-15,6.4706
2013-08-16,-1.105
2013-08-19,0.5587
2013-08-20,-4.4444
2013-08-21,-1.1628
2013-08-22,-0.7059
2013-08-23,0.0
2013-08-26,-0.1185
2013-08-27,0.8304
2013-08-28,-1.1764999999999999
2013-08-29,0.0
2013-08-30,-2.9204
2013-09-03,4.2345
2013-09-04,0.0
2013-09-05,0.0
2013-09-06,0.0
2013-09-09,-0.1176
2013-09-10,0.0
2013-09-11,2.8269
2013-09-12,3.8946
2013-09-13,10.1433
2013-09-16,37.1371
2013-09-17,2.1898
2013-09-18,12.75
2013-09-19,2.9458
2013-09-20,-10.707699999999999
2013-09-23,6.0648
2013-09-24,-12.0858
2013-09-25,3.1042
2013-09-26,1.0753
2013-09-27,-1.0638
2013-09-30,8.6022
2013-10-01,16.5677
2013-10-02,4.6433
2013-10-03,-1.2446
2013-10-04,5.2055
2013-10-07,-2.3438
2013-10-08,-4.32
2013-10-09,-1.9508999999999999
2013-10-10,2.3309
2013-10-11,-5.5556
2013-10-14,-3.4706
2013-10-15,-0.9141
2013-10-16,0.984
2013-10-17,5.0548
2013-10-18,3.1884
2013-10-21,2.0225
2013-10-22,0.2203
2013-10-23,-0.3846
2013-10-24,-3.6404
2013-10-25,-1.2021
2013-10-28,1.3905
2013-10-29,-0.5714
2013-10-30,-1.1494
2013-10-31,-2.0349
2013-11-01,1.7804
2013-11-04,1.516
2013-11-05,-1.2062
2013-11-06,-2.0349
2013-11-07,-6.0534
2013-11-08,-0.2527
2013-11-11,0.3167
2013-11-12,5.3662
2013-11-13,1.8574000000000002
2013-11-14,3.0
2013-11-15,-0.7995
2013-11-18,0.1727
2013-11-19,-0.8621
2013-11-20,-3.7681
2013-11-21,2.7108
2013-11-22,1.1144
2013-11-25,-1.5661
2013-11-26,0.1179
2013-11-27,0.0589
2013-11-29,-1.5882
2013-12-02,0.1195
2013-12-03,-0.8358
