ticker,AVTR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-17,3.5714
2019-05-20,6.2759
2019-05-21,8.3712
2019-05-22,3.5928
2019-05-23,0.578
2019-05-24,-0.4598
2019-05-28,2.194
2019-05-29,-1.4123999999999999
2019-05-30,-0.8023
2019-05-31,1.0976
2019-06-03,0.4571
2019-06-04,-0.4551
2019-06-05,-0.8571
2019-06-06,-1.7290999999999999
2019-06-07,0.8798
2019-06-10,0.5814
2019-06-11,1.7341
2019-06-12,3.3523
2019-06-13,2.3639
2019-06-14,0.9667
2019-06-17,-0.9574
2019-06-18,0.9667
2019-06-19,0.0
2019-06-20,0.5851
2019-06-21,0.6875
2019-06-24,0.0525
2019-06-25,-1.8373
2019-06-26,-0.0535
2019-06-27,-0.6956
2019-06-28,2.8556
2019-07-01,-1.8334000000000001
2019-07-02,0.0534
2019-07-03,1.0133
2019-07-05,1.2671999999999999
2019-07-08,-1.0949
2019-07-09,-2.8466
2019-07-10,-0.4883
2019-07-11,1.0905
2019-07-12,-1.1327
2019-07-15,-3.2733
2019-07-16,-3.2149
2019-07-17,-0.9324
2019-07-18,3.1765
2019-07-19,4.9601
2019-07-22,0.2173
2019-07-23,-0.0542
2019-07-24,0.0542
2019-07-25,-0.1084
2019-07-26,-2.2789
2019-07-29,-0.7773
2019-07-30,-0.8954
2019-07-31,-0.6776
2019-08-01,-1.9898
2019-08-02,-3.6543
2019-08-05,-3.6123
2019-08-06,6.0587
2019-08-07,-1.7079
2019-08-08,1.9173
2019-08-09,-0.9406
2019-08-12,-3.2641
2019-08-13,0.184
2019-08-14,-3.6742
2019-08-15,1.5257
2019-08-16,3.5066
2019-08-19,2.3593
2019-08-20,1.2411
2019-08-21,3.3859
2019-08-22,0.5082
2019-08-23,-2.6966
2019-08-26,-1.8476
2019-08-27,0.1765
2019-08-28,-0.6459
2019-08-29,3.6643
2019-08-30,-0.2281
2019-09-03,-1.3714
2019-09-04,-0.1159
2019-09-05,-0.348
2019-09-06,-0.8149
2019-09-09,-4.6362
2019-09-10,-4.2462
2019-09-11,-1.0283
2019-09-12,-1.1688
2019-09-13,-1.9054
2019-09-16,2.4782
2019-09-17,4.8366
2019-09-18,-3.3666
2019-09-19,0.7097
2019-09-20,-1.4094
2019-09-23,0.9747
2019-09-24,-1.8018
2019-09-25,-3.2765
2019-09-26,-6.1653
2019-09-27,0.2888
2019-09-30,5.8315
2019-10-01,-4.0816
2019-10-02,-3.3333
2019-10-03,2.7880000000000003
