ticker,APO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-30,-4.2105
2011-03-31,-1.0989
2011-04-01,0.0
2011-04-04,-0.6667
2011-04-05,0.5593
2011-04-06,0.6674
2011-04-07,-0.4972
2011-04-08,-0.0555
2011-04-11,0.3333
2011-04-12,0.7198
2011-04-13,-0.4948
2011-04-14,0.8287
2011-04-15,1.3699
2011-04-18,-1.7297
2011-04-19,0.11
2011-04-20,0.1648
2011-04-21,-0.6583
2011-04-25,-0.2761
2011-04-26,0.6645
2011-04-27,0.0
2011-04-28,-0.385
2011-04-29,-0.1657
2011-05-02,0.6046
2011-05-03,0.4436
2011-05-04,-1.5873
2011-05-05,-0.2225
2011-05-06,0.1672
2011-05-09,2.9494
2011-05-10,1.1351
2011-05-11,-1.2293
2011-05-12,-0.3247
2011-05-13,-0.8143
2011-05-16,-2.4083
2011-05-17,-3.6455
2011-05-18,3.8999
2011-05-19,0.7843
2011-05-20,0.4502
2011-05-23,-1.4006
2011-05-24,-0.1705
2011-05-25,-1.1383
2011-05-26,2.1877
2011-05-27,2.4789
2011-05-31,-0.9346
2011-06-01,-0.4994
2011-06-02,-0.3904
2011-06-03,-0.056
2011-06-06,-2.521
2011-06-07,-2.7586
2011-06-08,-1.0047
2011-06-09,-2.7462999999999997
2011-06-10,-3.9901999999999997
2011-06-13,-0.8312
2011-06-14,3.1593
2011-06-15,-0.1875
2011-06-16,-0.6262
2011-06-17,0.5041
2011-06-20,-1.5674000000000001
2011-06-21,1.9108
2011-06-22,2.0
2011-06-23,-1.3479999999999999
2011-06-24,-0.6211
2011-06-27,0.75
2011-06-28,2.9156
2011-06-29,3.255
2011-06-30,0.4086
2011-07-01,-0.3488
2011-07-05,-0.8751
2011-07-06,-0.6474
2011-07-07,-0.0592
2011-07-08,0.7706
2011-07-11,-2.7058999999999997
2011-07-12,0.6651
2011-07-13,-1.5615999999999999
2011-07-14,-0.7932
2011-07-15,1.476
2011-07-18,-3.6364
2011-07-19,0.6289
2011-07-20,2.125
2011-07-21,2.5092
2011-07-22,1.1343
2011-07-25,1.5348000000000002
2011-07-26,0.4651
2011-07-27,-2.7199
2011-07-28,0.3569
2011-07-29,2.6082
2011-08-01,1.0976
2011-08-02,-3.8857
2011-08-03,-0.5351
2011-08-04,-10.7591
2011-08-05,-5.8942
2011-08-08,-5.7651
2011-08-09,6.7976
2011-08-10,-3.7481999999999998
2011-08-11,0.0
2011-08-12,-2.4247
2011-08-15,0.3765
2011-08-16,6.3016
