ticker,JUPGF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-06,0.0
2018-11-08,12.5
2019-02-01,-33.3333
2019-02-28,0.0
2019-03-08,0.0
2019-05-03,-33.3333
2019-05-10,0.0
2019-06-11,-10.0
2019-06-14,0.0
2019-06-17,0.0
2019-06-19,0.0
2019-06-24,0.0
2019-06-26,0.0
2019-07-01,0.0
2019-07-02,0.0
2019-07-03,0.0
2019-07-08,0.0
2019-07-09,0.0
2019-07-10,0.0
2019-07-19,0.0
2019-07-29,0.0
2019-07-30,0.0
2019-07-31,122.2222
2019-08-01,0.0
2019-08-02,-12.5
2019-08-05,0.0
2019-08-06,-22.8571
2019-08-14,29.6296
2019-09-23,-42.8571
2019-09-25,25.0
2019-09-26,-12.0
2019-09-27,-28.1818
2019-09-30,32.9114
2019-10-24,19.0476
2019-10-30,-52.0
2019-10-31,68.3333
2019-11-11,3.9604
2019-11-12,-14.2857
2019-11-13,-5.5556
2019-11-14,-35.2941
2019-11-20,52.7273
2019-11-22,-4.7619
2019-11-25,-50.0
2019-11-26,120.0
2019-11-27,-37.5
2019-12-02,0.0
2019-12-04,0.0
2019-12-05,-54.5273
2019-12-06,59.936
2019-12-10,-8.625
2019-12-12,23.119
2019-12-20,66.6667
2019-12-30,65.3333
2019-12-31,-47.5806
2020-01-02,-46.1538
2020-01-03,0.0
2020-01-08,71.4286
2020-01-14,0.0
2020-01-29,50.0
2020-01-30,-11.1111
2020-02-06,-15.0
2020-02-10,-35.2941
2020-02-11,-9.0909
2020-02-12,-12.5
2020-02-18,42.8571
2020-02-19,-30.0
2020-02-20,71.4286
2020-02-24,-8.3333
2020-02-26,9.0909
2020-03-03,6.0
2020-03-04,3.3333
2020-03-05,27.815
2020-03-06,15.4762
2020-03-16,0.0
2020-04-03,-2.0619
2020-04-16,2.1053
2020-04-17,-1.0309
2020-04-27,0.0
2020-05-08,-3.125
2020-05-13,-4.3011
2020-05-14,-1.1236
2020-06-04,-14.7727
2020-06-08,2.6667
2020-06-11,-2.5974
2020-06-18,0.0
2020-07-07,2.6667
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-24,0.0
2020-07-27,11.039
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,16.9591
