ticker,LMWW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-09-15,0.0
2004-09-22,0.0
2004-09-29,0.0
2004-11-12,200.0
2004-11-29,-16.6667
2005-05-25,0.0
2005-06-29,0.0
2005-07-20,0.0
2005-09-06,0.0
2005-09-20,0.0
2005-12-14,0.0
2006-01-17,0.0
2006-01-18,0.0
2006-08-10,1920.0
2006-08-11,-75.2475
2006-08-29,80.0
2006-09-13,51.1111
2006-10-04,10.2941
2006-10-06,13.3333
2006-11-17,0.0
2006-11-27,0.0
2006-12-05,0.0
2006-12-06,0.0
2006-12-13,-29.4118
2006-12-15,0.0
2006-12-20,68.3333
2006-12-22,-15.8416
2006-12-27,23.5294
2007-01-10,28.5714
2007-01-26,14.8148
2007-04-03,32.2581
2007-04-16,-24.3902
2007-04-17,-34.8387
2007-04-25,48.5149
2007-05-01,-43.3333
2007-05-02,82.3529
2007-06-01,0.0
2007-06-06,-45.1613
2007-06-22,76.4706
2007-07-02,100.0
2007-07-12,0.0
2007-07-17,12.5
2007-08-20,-26.6667
2007-09-11,-38.7879
2007-09-12,162.3762
2007-09-26,-24.5283
2007-10-15,-12.5
2007-10-17,14.2857
2007-10-18,0.0
2007-10-29,0.0
2007-11-02,0.0
2007-11-08,0.0
2007-12-06,0.0
2007-12-07,0.0
2007-12-11,0.0
2007-12-12,0.0
2007-12-13,0.0
2007-12-14,5.0
2007-12-17,-9.5238
2007-12-19,-2.6316
2007-12-20,-8.1081
2007-12-21,-0.5882
2007-12-26,0.5917
2007-12-28,0.0
2007-12-31,-1.1764999999999999
2008-01-02,-4.7619
2008-01-04,5.0
2008-01-07,-4.7619
2008-01-08,0.0
2008-01-09,0.0
2008-01-10,-6.875
2008-01-14,-6.0403
2008-01-15,-10.7143
2008-01-16,4.8
2008-01-17,6.8702
2008-01-18,-6.4286
2008-01-22,5.3435
2008-01-23,-5.7971
2008-01-24,-3.8462
2008-01-25,0.0
2008-01-28,-8.8
2008-01-29,-3.5088
2008-01-30,-8.1818
2008-01-31,7.9208
2008-02-01,14.6789
2008-02-04,-16.0
2008-02-11,-3.8095
2008-02-12,-0.9901
2008-02-14,-5.0
2008-02-19,-5.2632
2008-02-20,-5.5556
2008-02-21,5.8824
2008-02-22,-5.5556
2008-02-26,-8.2353
2008-02-28,-16.6667
2008-02-29,0.0
2008-03-03,-9.2308
2008-03-04,-11.8644
2008-03-06,13.461500000000001
2008-03-07,-32.2034
2008-03-10,30.0
2008-03-11,-23.0769
2008-03-12,12.5
