ticker,IPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-22,57.5
2008-04-23,-2.5991999999999997
2008-04-24,-1.0185
2008-04-25,6.8944
2008-04-28,-7.0466
2008-04-29,-5.5095
2008-04-30,4.0991
2008-05-01,-5.0748
2008-05-02,-0.7098
2008-05-05,8.3557
2008-05-06,2.6598
2008-05-07,-0.4619
2008-05-08,2.7038
2008-05-09,-1.6503
2008-05-12,-1.1187
2008-05-13,-2.8889
2008-05-14,-1.0193
2008-05-15,-1.7024
2008-05-16,5.8157
2008-05-19,-0.3031
2008-05-20,-0.9323
2008-05-21,-3.6007
2008-05-22,-0.6154
2008-05-23,-0.5766
2008-05-27,-2.878
2008-05-28,2.1008
2008-05-29,0.4982
2008-05-30,5.9483
2008-06-02,-2.1562
2008-06-03,1.3514
2008-06-04,-0.841
2008-06-05,6.4129
2008-06-06,4.2768
2008-06-09,6.7301
2008-06-10,-2.3755
2008-06-11,4.6162
2008-06-12,-1.0604
2008-06-13,3.7165
2008-06-16,4.0
2008-06-17,3.2212
2008-06-18,1.2886
2008-06-19,-1.7627000000000002
2008-06-20,5.5703
2008-06-23,8.2323
2008-06-24,-6.8551
2008-06-25,-0.8503
2008-06-26,-3.1495
2008-06-27,-3.6183
2008-06-30,4.1977
2008-07-01,-3.4965
2008-07-02,-8.2073
2008-07-03,-3.9986
2008-07-07,-5.0054
2008-07-08,3.5002
2008-07-09,2.6727
2008-07-10,-2.7448
2008-07-11,2.3307
2008-07-14,7.1352
2008-07-15,-3.4878
2008-07-16,3.459
2008-07-17,-4.6574
2008-07-18,-2.0586
2008-07-21,6.555
2008-07-22,-2.3404
2008-07-23,-7.1893
2008-07-24,-4.9797
2008-07-25,1.2034
2008-07-28,-4.1043
2008-07-29,4.9
2008-07-30,11.4967
2008-07-31,-5.4378
2008-08-01,-4.141
2008-08-04,-9.5076
2008-08-05,-6.0871
2008-08-06,5.3496
2008-08-07,-2.2124
2008-08-08,-5.042
2008-08-11,-4.9694
2008-08-12,1.2655
2008-08-13,10.1863
2008-08-14,-8.2816
2008-08-15,-2.8465
2008-08-18,2.9299
2008-08-19,2.2632
2008-08-20,4.9509
2008-08-21,1.6957
2008-08-22,-0.8764
2008-08-25,-1.7468
2008-08-26,-0.417
2008-08-27,3.6808
2008-08-28,-0.9354
2008-08-29,1.6309
2008-09-02,-8.1926
2008-09-03,-7.3597
2008-09-04,-8.6147
2008-09-05,5.379
2008-09-08,-2.8616
2008-09-09,-15.2601
