ticker,RNGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-08-11,-1.931
2017-08-14,-1.5471
2017-08-15,0.0
2017-08-16,0.0714
2017-08-17,-1.8558
2017-08-18,2.9091
2017-08-21,-1.1307
2017-08-22,0.4289
2017-08-23,-0.3559
2017-08-24,0.0
2017-08-25,0.0
2017-08-28,0.3571
2017-08-29,-0.4982
2017-08-30,1.5737
2017-08-31,0.0
2017-09-01,5.0704
2017-09-05,-2.3458
2017-09-06,-0.2745
2017-09-07,-1.1012
2017-09-08,1.2526
2017-09-11,-4.2612
2017-09-12,1.9383
2017-09-13,1.1268
2017-09-14,7.9387
2017-09-15,-6.4516
2017-09-18,-2.8966
2017-09-19,0.5682
2017-09-20,0.6356
2017-09-21,0.7018
2017-09-22,1.115
2017-09-25,2.481
2017-09-26,-1.8157
2017-09-27,-0.5479
2017-09-28,0.9642
2017-09-29,0.2729
2017-10-02,-0.6803
2017-10-03,-0.5479
2017-10-04,-0.1377
2017-10-05,0.6207
2017-10-06,-0.0685
2017-10-09,1.166
2017-10-10,0.8814
2017-10-11,-0.7392
2017-10-12,0.2031
2017-10-13,-1.4865
2017-10-16,0.0
2017-10-17,-4.5267
2017-10-18,-5.4597999999999995
2017-10-19,0.152
2017-10-20,-0.1517
2017-10-23,-3.1155
2017-10-24,-3.1373
2017-10-25,-4.8583
2017-10-26,-3.0638
2017-10-27,-3.4241
2017-10-30,8.3636
2017-10-31,-2.6846
2017-11-01,5.5172
2017-11-02,-6.9444
2017-11-03,-0.0878
2017-11-06,4.1301
2017-11-07,-3.5443
2017-11-08,-1.8373
2017-11-09,-5.4367
2017-11-10,-15.5514
2017-11-13,1.7856999999999998
2017-11-14,-3.2895
2017-11-15,3.9683
2017-11-16,0.9815
2017-11-17,0.6479
2017-11-20,-1.5021
2017-11-21,-0.7625
2017-11-22,0.5488
2017-11-24,0.9825
2017-11-27,-1.4054
2017-11-28,1.2061
2017-11-29,-0.4334
2017-11-30,2.6115
2017-12-01,0.4242
2017-12-04,4.5407
2017-12-05,-1.9192
2017-12-06,-0.8239
2017-12-07,0.2077
2017-12-08,2.0725
2017-12-11,-0.5076
2017-12-12,-0.102
2017-12-13,0.0
2017-12-14,-1.0215
2017-12-15,1.3416000000000001
2017-12-18,-1.4257
2017-12-19,-1.2397
2017-12-20,-2.7197
2017-12-21,-0.4301
2017-12-22,0.0
2017-12-26,0.108
2017-12-27,0.2157
2017-12-28,-0.2153
2017-12-29,-0.4315
2018-01-02,-0.8667
