ticker,PREGF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-18,16.6667
2000-02-17,-55.7143
2000-02-18,0.0
2000-03-31,25.8065
2000-06-23,-43.5897
2000-08-16,104.5455
2001-01-02,-48.8889
2001-05-31,60.8696
2001-07-13,-27.027
2001-12-31,-3.7037
2002-01-25,-11.538499999999999
2002-03-14,-8.6957
2002-03-28,-33.3333
2002-04-30,-7.1429
2002-08-23,-38.4615
2002-09-10,-25.0
2002-09-16,33.3333
2002-10-02,-62.5
2002-12-10,-66.6667
2003-03-03,3280.0
2003-04-14,-64.497
2003-08-29,66.6667
2004-01-08,230.0
2004-03-26,-30.6061
2004-03-30,39.738
2004-04-01,65.625
2004-04-02,0.1887
2004-04-05,16.7608
2004-04-06,-3.3266
2004-04-08,23.4619
2004-04-12,-10.1351
2004-04-14,-12.406
2004-04-19,-2.1459
2004-04-21,-12.2807
2004-04-26,22.2
2004-05-21,22.7496
2004-05-25,16.6667
2004-05-26,12.5714
2004-05-27,-2.3477
2004-05-28,-0.1949
2004-06-01,5.4036
2004-06-02,-2.656
2004-06-03,-5.0444
2004-06-04,-4.5573
2004-06-07,-5.9021
2004-06-08,5.4911
2004-06-09,-4.0767
2004-06-14,-5.8824
2004-06-16,-10.625
2004-06-22,-3.4965
2004-06-28,-5.7971
2004-07-06,10.0
2004-07-07,-4.1958
2004-07-08,-5.8394
2004-07-16,11.7248
2004-07-22,-11.1882
2004-07-28,-7.4219
2004-08-18,31.6456
2004-09-28,9.6154
2004-10-04,28.0702
2004-10-20,-9.589
2004-10-27,8.0808
2004-11-04,-7.4766
2004-11-09,-3.2449
2004-11-23,4.3978
2004-11-30,18.5
2004-12-02,-8.0169
2004-12-03,-6.8807
2004-12-16,17.2414
2004-12-21,3.3613
2004-12-22,1.626
2004-12-29,19.2
2004-12-30,3.0201
2004-12-31,-4.2345
2005-01-03,0.0
2005-01-05,-2.7211
2005-01-06,-2.0979
2005-01-07,0.7143
2005-01-10,0.7092
2005-01-11,-2.8169
2005-01-12,8.6957
2005-01-25,-3.3333
2005-02-01,1.3793
2005-02-04,8.1633
2005-02-11,-3.1447
2005-02-17,-0.4343
2005-02-18,-2.2256
2005-02-23,2.7223
2005-02-24,-1.9481000000000002
2005-02-25,3.9735
2005-02-28,10.5096
2005-03-01,8.3573
2005-03-02,-2.6596
2005-03-03,9.2247
2005-03-04,3.0612
2005-03-07,3.1553
2005-03-08,-10.1176
2005-03-09,-0.5236
2005-03-10,-5.2632
