ticker,LOVV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-08,0.0
2016-02-09,0.0
2016-03-01,0.0
2016-03-03,0.0
2016-04-25,-16.6667
2016-04-26,-56.0
2016-04-27,0.0
2016-04-28,200.0
2016-05-16,-61.7879
2016-05-17,-3.2514
2016-05-20,-8.6066
2016-06-10,7.6009
2016-06-21,-16.6493
2016-06-24,220.0
2016-10-19,-65.625
2017-11-27,83.6364
2017-12-12,-45.5446
2018-03-05,90.9091
2018-03-26,-0.9524
2018-04-24,-3.8558
2018-05-07,0.01
2018-05-14,5.0
2018-05-15,0.0
2018-05-23,-4.7619
2018-06-12,5.0
2018-06-27,0.0
2018-07-02,-4.7619
2018-08-10,0.0
2018-12-14,25.0
2019-01-14,0.0
2019-02-14,0.0
2019-03-01,-20.0
2019-10-03,-25.0
2020-05-01,-13.3333
2020-06-03,-30.7692
