ticker,FNKLF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-06,30.0
2004-10-13,-15.3846
2005-04-25,-0.3306
2005-04-27,-3.8143000000000002
2005-05-05,-1.7241
2005-06-16,22.807
2005-06-17,2.8571
2005-09-26,36.3889
2005-09-28,0.0
2005-09-30,19.1446
2005-10-04,2.1207
2005-10-05,-7.9353
2005-10-11,-0.4545
2005-10-18,8.6758
2005-10-19,2.9412000000000003
2005-10-24,8.1633
2005-10-25,-7.1698
2005-11-03,10.5691
2005-11-09,-10.0735
2005-11-29,12.8373
2005-12-01,-3.6231999999999998
2005-12-15,0.0
2005-12-22,-2.2556
2006-01-06,21.9231
2006-01-09,0.9464
2006-01-17,-13.75
2006-01-23,2.8986
2006-01-31,0.0
2006-02-01,-2.8169
2006-02-03,-3.6231999999999998
2006-02-07,2.2556
2006-02-09,1.1029
2006-02-13,-14.9091
2006-02-17,5.1282
2006-02-21,1.2195
2006-02-24,-2.3996
2006-03-01,-10.2973
2006-03-08,-8.7156
2006-03-23,-4.0201
2006-03-24,5.7592
2006-03-29,-5.9406
2006-03-30,8.4211
2006-04-04,-4.8544
2006-04-05,1.0204
2006-04-06,17.1717
2006-04-07,-1.7241
2006-04-10,-1.7544
2006-04-12,1.3393
2006-04-17,3.9758
2006-04-18,-0.0106
2006-04-24,-9.4174
2006-04-25,1.9764
2006-04-26,0.9174
2006-04-27,-3.6364
2006-05-01,5.6604
2006-05-02,-2.2321
2006-05-05,0.4566
2006-05-08,1.8182
2006-05-10,0.0
2006-05-11,-9.8214
2006-05-12,-0.9901
2006-05-15,-4.5
2006-05-16,1.5707
2006-05-17,-5.6701
2006-05-19,-0.5464
2006-05-25,-6.1538
2006-05-30,14.659
2006-06-02,-6.5552
2006-06-05,1.0929
2006-06-08,-10.2703
2006-06-30,-29.5181
2006-07-06,12.8205
2006-07-07,0.0
2006-07-11,-1.5152
2006-07-12,-2.3077
2006-07-14,-1.5748
2006-07-27,-16.8
2006-08-04,-14.4231
2006-08-08,-13.4831
2006-08-09,3.3279
2006-08-10,-0.5499
2006-08-17,-6.4771
2006-08-22,6.7568
2006-08-23,3.7975
2006-08-24,-2.2713
2006-08-30,-17.8131
2006-09-06,9.5084
2006-09-12,-7.331
2006-09-13,-4.2454
2006-09-14,-7.5586
2006-09-15,-5.3454
2006-10-03,16.3616
2006-10-04,0.3069
2006-10-10,7.095
2006-10-16,-1.1429
2006-10-19,19.9422
2006-10-23,7.997
2006-11-03,-6.9865
