ticker,CHME US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-04,20.0
2006-12-05,8.3333
2006-12-06,0.0
2006-12-07,0.0
2006-12-12,-23.0769
2006-12-14,10.0
2006-12-15,9.0909
2006-12-18,-4.6667
2006-12-19,3.1469
2006-12-21,0.0
2006-12-22,1.6949
2006-12-27,-1.6667
2006-12-28,-1.6949
2006-12-29,5.5172
2007-01-03,-3.5948
2007-01-04,-1.6949
2007-01-05,15.5172
2007-01-08,5.9701
2007-01-09,-5.6338
2007-01-10,-0.597
2007-01-11,6.006
2007-01-12,3.966
2007-01-16,-0.545
2007-01-17,0.0
2007-01-18,-1.3699
2007-01-19,-2.7778
2007-01-22,-2.5714
2007-01-23,0.0
2007-01-24,0.0
2007-01-25,0.2933
2007-01-26,-0.2924
2007-01-29,0.0
2007-01-30,0.0
2007-01-31,0.0
2007-02-01,0.8798
2007-02-02,-1.1628
2007-02-05,-2.9412000000000003
2007-02-06,-3.0303
2007-02-07,3.75
2007-02-08,-4.2169
2007-02-09,-0.9434
2007-02-12,-4.7619
2007-02-13,0.0
2007-02-14,0.0
2007-02-16,0.0
2007-02-20,-8.3333
2007-02-21,0.0
2007-02-22,-1.8182
2007-02-23,18.5185
2007-02-26,-6.25
2007-02-27,1.6667
2007-02-28,-1.6393
2007-03-01,-3.3333
2007-03-02,-1.7241
2007-03-05,-1.7544
2007-03-06,1.7856999999999998
2007-03-07,1.7544
2007-03-08,-1.7241
2007-03-09,-0.3509
2007-03-12,2.1127
2007-03-13,2.4138
2007-03-14,-0.3367
2007-03-15,-0.6757
2007-03-19,-1.3605
2007-03-20,-3.4483
2007-03-21,0.0
2007-03-22,0.0
2007-03-23,0.0
2007-03-26,2.1429
2007-03-27,1.3986
2007-03-29,0.0
2007-03-30,5.1724
2007-04-02,-1.6393
2007-04-03,0.0
2007-04-04,33.3333
2007-04-05,-3.0
2007-04-09,-4.6392
2007-04-10,-2.7027
2007-04-11,-2.7778
2007-04-12,0.0
2007-04-13,0.0
2007-04-16,-1.4285999999999999
2007-04-17,2.8986
2007-04-18,0.5634
2007-04-19,-1.9607999999999999
2007-04-20,-1.4285999999999999
2007-04-23,0.0
2007-04-24,-1.4493
2007-04-25,-1.4706000000000001
2007-04-26,1.4925
2007-04-27,-1.4706000000000001
2007-04-30,-1.4925
2007-05-01,-0.303
2007-05-02,0.304
2007-05-03,0.0
2007-05-04,-1.5152
2007-05-07,1.5385
2007-05-08,0.0
2007-05-09,1.2121
