ticker,AEGY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-05,21.2121
2009-10-06,0.0
2009-10-07,5.0
2009-10-08,7.1429
2009-10-09,6.6667
2009-10-12,-8.3333
2009-10-13,4.5455
2009-10-15,-6.5217
2009-10-16,27.907
2009-10-19,-9.0909
2009-10-20,6.0
2009-10-21,11.3208
2009-10-22,-13.5593
2009-10-23,0.0
2009-10-29,3.9215999999999998
2009-10-30,22.6415
2009-11-03,-7.6923
2009-11-05,-13.3333
2009-11-06,-1.9231
2009-11-09,-23.5294
2009-11-10,2.5641
2009-11-13,10.0
2009-11-25,20.4545
2009-11-27,1.8868
2009-12-02,-7.4074
2009-12-10,2.0
2009-12-22,1.9607999999999999
2009-12-24,-23.0769
2009-12-30,-15.0
2010-01-06,73.5294
2010-01-07,-3.3898
2010-01-13,-15.7895
2010-01-14,-16.6667
2010-01-19,-15.0
2010-01-21,50.0
2010-01-22,-1.9607999999999999
2010-01-25,2.0
2010-01-27,7.8431
2010-01-28,-7.2727
2010-01-29,1.9607999999999999
2010-02-02,-13.461500000000001
2010-02-04,0.0
2010-02-05,20.0
2010-02-08,-12.963
2010-02-09,10.6383
2010-02-16,5.7692
2010-02-17,-1.8182
2010-02-18,-7.4074
2010-02-19,0.0
2010-02-22,19.0
2010-02-26,-16.6387
2010-03-01,0.8065
2010-03-03,-11.0
2010-03-04,11.236
2010-03-08,-3.0303
2010-03-09,-6.25
2010-03-11,-1.1111
2010-03-12,1.1236
2010-03-15,-1.1111
2010-03-17,5.618
2010-03-18,-14.8936
2010-03-22,0.0
2010-03-24,0.0
2010-03-25,0.0
2010-03-29,0.0
2010-03-30,0.0
2010-03-31,0.0
2010-04-05,20.0
2010-04-06,-16.6667
2010-04-09,12.5
2010-04-12,8.8889
2010-04-13,-28.5714
2010-04-14,40.0
2010-04-15,0.0
2010-04-19,-2.0408
2010-04-20,-2.0833
2010-04-21,2.1277
2010-04-23,-16.6667
2010-04-26,0.0
2010-04-27,0.0
2010-04-28,-12.5
2010-05-03,28.5714
2010-05-04,24.4444
2010-05-05,3.5714
2010-05-06,3.4483
2010-05-07,0.0
2010-05-10,0.0
2010-05-11,-1.6667
2010-05-12,0.0
2010-05-13,-1.6949
2010-05-14,-5.1724
2010-05-17,0.0
2010-05-18,5.4545
2010-05-19,-3.4483
2010-05-20,-2.6786
2010-05-21,33.0275
2010-05-24,10.3448
2010-05-25,-6.25
2010-05-26,-12.0
2010-05-27,21.2121
2010-05-28,13.75
