ticker,GER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-29,0.25
2014-09-30,0.5271
2014-10-01,-0.7724
2014-10-02,0.0
2014-10-03,0.0
2014-10-06,0.05
2014-10-07,0.0
2014-10-08,0.2999
2014-10-09,-0.299
2014-10-10,-0.05
2014-10-13,-0.5
2014-10-14,-3.7688
2014-10-15,4.4386
2014-10-16,0.1
2014-10-17,1.0989
2014-10-20,-1.1858
2014-10-21,0.65
2014-10-22,-0.4968
2014-10-23,-0.1498
2014-10-24,0.5
2014-10-27,-0.4975
2014-10-28,0.2
2014-10-29,0.2495
2014-10-30,-1.4435
2014-10-31,-0.8081
2014-11-03,-0.9165
2014-11-04,-0.8736
2014-11-05,-3.0586
2014-11-06,0.4813
2014-11-07,0.0
2014-11-10,-1.5966
2014-11-11,-0.3786
2014-11-12,-0.1629
2014-11-13,-0.3806
2014-11-14,-3.2778
2014-11-17,-0.6318
2014-11-18,-0.6936
2014-11-19,2.0955
2014-11-20,2.9076
2014-11-21,0.8864
2014-11-24,-3.5695
2014-11-25,-2.4487
2014-11-26,0.4086
2014-11-28,-0.5233
2014-12-01,-7.8324
2014-12-02,-3.043
2014-12-03,-0.4578
2014-12-04,-1.4455
2014-12-05,4.4667
2014-12-08,-5.8073
2014-12-09,-3.4553
2014-12-10,-5.4737
2014-12-11,0.2227
2014-12-12,1.5556
2014-12-15,-4.2305
2014-12-16,-1.904
2014-12-17,9.6273
2014-12-18,2.6204
2014-12-19,0.138
2014-12-22,-3.7904999999999998
2014-12-23,0.6447
2014-12-24,-0.7117
2014-12-26,0.7885
2014-12-29,0.2134
2014-12-30,-0.6388
2014-12-31,1.3571
2015-01-02,4.1579
2015-01-05,-1.8944999999999999
2015-01-06,-0.8276
2015-01-07,-1.8776000000000002
2015-01-08,3.5436
2015-01-09,0.7529
2015-01-12,-1.9701
2015-01-13,-1.1781
2015-01-14,-0.7714
2015-01-15,0.0
2015-01-16,4.0989
2015-01-20,-3.055
2015-01-21,3.9916
2015-01-22,1.0774
2015-01-23,0.4664
2015-01-26,1.3263
2015-01-27,-0.1309
2015-01-28,-1.8349
2015-01-29,0.267
2015-01-30,0.0
2015-02-02,1.7976
2015-02-03,3.2047
2015-02-04,-0.8872
2015-02-05,1.7263
2015-02-06,0.1886
2015-02-09,-0.0627
2015-02-10,-1.0044
2015-02-11,-0.6975
2015-02-12,1.8199
2015-02-13,0.9603
2015-02-17,0.5073
2015-02-18,-0.1262
2015-02-19,-1.1371
