ticker,GFKAF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-11-08,-15.8785
2002-07-19,7.0936
2002-10-18,-29.8485
2002-10-21,1.5117
2002-10-25,-0.1489
2002-10-29,1.1186
2002-10-30,0.295
2002-11-13,-2.9412000000000003
2002-11-14,-3.0303
2005-04-18,196.0937
2005-04-19,0.9235
2005-12-12,-9.1503
2006-11-07,32.5445
2006-11-22,-2.0879
2011-02-04,24.31
2011-03-01,-5.4616
2011-03-02,0.5474
2013-04-11,10.9949
2013-10-04,9.0121
2013-10-07,0.4565
2013-10-08,0.1527
2013-10-09,-0.8607
2013-10-10,1.0968
2013-10-21,3.1265
2013-10-23,3.557
2013-10-24,-0.018
2013-11-01,-4.7061
2013-12-03,-4.0956
2013-12-04,-0.4545
2013-12-30,-1.4783
2014-01-02,-0.7514
2014-01-03,0.8838
2014-01-13,0.6525
2014-02-04,-2.0578
2014-02-06,3.4962
2014-02-07,-0.7693
2014-03-03,3.4282
2014-04-02,-5.5029
2014-04-15,-5.3571
2014-05-02,-1.3862999999999999
2014-06-03,8.2455
2014-07-02,-5.4618
2014-07-11,-3.4714
2014-08-04,-10.8586
2014-09-02,-9.3376
2014-09-03,0.8485
2014-09-05,-3.1101
2014-10-01,9.9549
2014-10-02,0.3941
2014-11-04,-3.67
2014-11-26,0.5541
2014-12-01,-4.647
2014-12-02,5.7512
2014-12-03,-0.9503
2015-01-02,-3.2251
2015-01-05,-4.5955
2015-01-28,-1.603
2015-01-29,-1.3622
2015-02-02,6.0806000000000004
2015-03-02,2.3132
2015-03-24,-6.8187999999999995
2015-04-01,-2.9577999999999998
2015-04-02,1.7058
2015-05-04,0.6633
2015-05-21,3.6827
2015-06-01,-2.2824999999999998
2015-07-01,14.8072
2015-07-16,3.2528
2015-07-31,0.0106
2015-08-03,-5.0618
2015-08-06,0.847
2015-08-26,-8.8805
2015-09-02,-0.8903
2015-09-09,-1.4093
2015-09-18,-3.3649
2015-11-02,0.7842
2016-02-17,-16.2333
2016-02-29,-0.6034
2016-04-28,22.0447
2016-05-16,-0.5236
2016-05-26,1.6694
2016-07-21,0.8615
2016-11-15,-18.1057
2016-11-22,-5.5786999999999995
2016-11-25,0.2914
2017-02-07,56.7139
