ticker,AUMN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-04-23,-50.0
2009-04-24,200.0
2009-04-30,400.0
2009-05-07,500.0
2009-05-08,0.0
2009-05-11,26.6667
2009-05-12,9.6491
2009-05-13,4.0
2009-05-14,-3.8462
2009-05-15,-4.0
2009-05-18,2.5
2009-05-19,1.626
2009-05-20,40.0
2009-05-21,14.2857
2009-05-22,10.0
2009-05-26,-9.0909
2009-05-28,24.0
2009-05-29,-9.2742
2009-06-01,-2.2222
2009-06-02,-6.8182
2009-06-03,-1.9512
2009-06-04,-0.4975
2009-06-05,0.0
2009-06-08,-2.5
2009-06-09,5.1282
2009-06-10,2.439
2009-06-11,9.5238
2009-06-12,2.1739
2009-06-15,1.2766
2009-06-16,0.0
2009-06-17,-0.8403
2009-06-18,10.1695
2009-06-23,-1.9231
2009-06-24,11.7647
2009-06-25,0.0
2009-06-26,-15.7895
2009-06-30,2.0833
2009-07-01,6.1224
2009-07-08,-5.7692
2009-07-09,-2.0408
2009-07-13,14.5833
2009-07-17,1.8182
2009-07-23,0.0
2009-07-24,0.0
2009-07-27,0.0
2009-07-29,-14.2857
2009-07-30,16.6667
2009-07-31,7.1429
2009-08-03,3.3333
2009-08-04,11.2903
2009-08-05,20.2899
2009-08-06,-3.6145
2009-08-07,-2.5
2009-08-10,0.0
2009-08-11,0.0
2009-08-13,-10.2564
2009-08-14,-10.0
2009-08-17,1.9048
2009-08-18,10.2804
2009-08-20,12.7119
2009-08-25,-17.5439
2009-08-26,18.541
2009-08-28,-0.5128
2009-08-31,4.3814
2009-09-01,-1.2346
2009-09-02,-10.0
2009-09-03,8.3333
2009-09-04,1.0256
2009-09-08,2.7919
2009-09-09,-1.2346
2009-09-10,0.5
2009-09-11,3.2338
2009-09-14,9.6386
2009-09-15,4.3956
2009-09-16,0.0
2009-09-18,3.5789
2009-09-21,0.6098
2009-09-22,1.0101
2009-09-24,-0.6
2009-09-28,-3.4205
2009-09-29,10.4167
2009-09-30,17.9245
2009-10-01,4.8
2009-10-02,1.5267
2009-10-05,-2.2556
2009-10-06,3.0769
2009-10-07,-2.9851
2009-10-08,-7.6923
2009-10-09,8.3333
2009-10-13,3.8462
2009-10-14,-10.8148
2009-10-15,10.1329
2009-10-16,-1.6591
2009-10-19,0.4601
2009-10-20,6.8702
2009-10-21,7.1429
2009-10-22,-8.0
2009-10-26,6.3768
2009-10-27,-6.6757
2009-10-28,-2.9196999999999997
2009-10-29,0.0
2009-10-30,-0.1504
