ticker,FBM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-02-10,10.7143
2017-02-13,3.2258
2017-02-14,0.0
2017-02-15,-1.125
2017-02-16,-1.6435
2017-02-17,-0.2571
2017-02-21,-0.1289
2017-02-22,-1.9355
2017-02-23,1.9737
2017-02-24,2.7096999999999998
2017-02-27,1.8843999999999999
2017-02-28,0.7398
2017-03-01,4.1616
2017-03-02,-1.7039
2017-03-03,-0.8368
2017-03-06,-0.4822
2017-03-07,-0.1817
2017-03-08,-1.517
2017-03-09,-1.7252
2017-03-10,-0.1254
2017-03-13,2.5738
2017-03-14,-5.508
2017-03-15,2.0078
2017-03-16,2.6667
2017-03-17,-0.0618
2017-03-20,0.1856
2017-03-21,-0.803
2017-03-22,3.0511
2017-03-23,3.9275
2017-03-24,-2.5
2017-03-27,-4.2934
2017-03-28,-0.1869
2017-03-29,-2.8714
2017-03-30,5.0771
2017-03-31,-2.3242
2017-04-03,-1.8784999999999998
2017-04-04,-0.3191
2017-04-05,0.7042
2017-04-06,1.8436
2017-04-07,1.1236
2017-04-10,1.6667
2017-04-11,-0.6679
2017-04-12,-2.0782
2017-04-13,-0.4994
2017-04-17,1.8193000000000001
2017-04-18,-0.5545
2017-04-19,-0.2478
2017-04-20,0.3106
2017-04-21,-0.2477
2017-04-24,-0.2483
2017-04-25,0.9334
2017-04-26,0.9864
2017-04-27,-0.6716
2017-04-28,-0.4917
2017-05-01,2.2854
2017-05-02,-1.5097
2017-05-03,-1.3489
2017-05-04,0.5594
2017-05-05,0.1854
2017-05-08,-0.8637
2017-05-09,1.9291
2017-05-10,-3.3578
2017-05-11,-1.1371
2017-05-12,-2.3642
2017-05-15,0.0
2017-05-16,-1.178
2017-05-17,-4.1722
2017-05-18,-0.4147
2017-05-19,-1.5960999999999999
2017-05-22,0.0
2017-05-23,0.3526
2017-05-24,-1.3352
2017-05-25,0.0
2017-05-26,-0.2849
2017-05-30,-1.3571
2017-05-31,-2.2448
2017-06-01,0.7407
2017-06-02,1.6176
2017-06-05,-0.9407
2017-06-06,1.9722
2017-06-07,2.5788
2017-06-08,-0.1397
2017-06-09,-1.049
2017-06-12,-0.1413
2017-06-13,0.7077
2017-06-14,0.1405
2017-06-15,-1.7544
2017-06-16,-1.7856999999999998
2017-06-19,0.5818
2017-06-20,0.3615
2017-06-21,-1.8732
2017-06-22,0.1468
2017-06-23,1.0997
2017-06-26,0.4351
2017-06-27,-1.083
2017-06-28,3.0657
2017-06-29,-7.7195
