ticker,ADHG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-15,1100.0
2017-05-18,4.1667
2018-03-12,540.0
2018-03-16,0.0
2018-04-19,-50.0
2019-09-23,-47.5
2019-10-21,0.4762
2019-11-06,-5.2133
2019-11-07,55.5
2019-11-11,-4.8232
2019-12-06,1.3514
2020-04-06,-33.3333
2020-04-08,-24.995
