ticker,PRPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.9215999999999998
2000-01-04,6.1224
2000-01-05,1.9231
2000-01-06,-3.7736
2000-01-07,1.9607999999999999
2000-01-10,17.3077
2000-01-11,-4.918
2000-01-12,6.8966
2000-01-13,4.8387
2000-01-14,1.5385
2000-01-18,13.6364
2000-01-19,-4.0
2000-01-20,-2.7778
2000-01-21,-8.5714
2000-01-24,-3.125
2000-01-25,-6.4516
2000-01-26,1.7241
2000-01-27,5.0847
2000-01-28,0.0
2000-01-31,-6.4516
2000-02-01,6.8966
2000-02-02,1.6129
2000-02-03,4.7619
2000-02-04,1.5152
2000-02-07,2.9851
2000-02-08,1.4493
2000-02-09,-5.7143
2000-02-10,0.0
2000-02-11,1.5152
2000-02-14,-1.4925
2000-02-15,0.0
2000-02-16,-9.0909
2000-02-17,1.6667
2000-02-18,-9.8361
2000-02-22,1.8182
2000-02-23,0.0
2000-02-24,-3.5714
2000-02-25,1.8519
2000-02-28,-1.8182
2000-02-29,-3.7037
2000-03-01,7.6923
2000-03-02,-7.1429
2000-03-03,0.0
2000-03-06,7.6923
2000-03-07,7.1429
2000-03-08,8.3333
2000-03-09,-1.5385
2000-03-10,0.0
2000-03-13,50.0
2000-03-14,-26.0417
2000-03-15,-8.4507
2000-03-16,3.0769
2000-03-17,0.0
2000-03-20,-2.9851
2000-03-21,-7.6923
2000-03-22,0.0
2000-03-23,0.0
2000-03-24,0.0
2000-03-27,0.0
2000-03-28,-1.6667
2000-03-29,-5.0847
2000-03-30,3.5714
2000-03-31,-5.1724
2000-04-03,-5.4545
2000-04-04,-3.8462
2000-04-05,4.0
2000-04-06,3.8462
2000-04-07,1.8519
2000-04-10,0.0
2000-04-11,-3.6364
2000-04-12,-7.5472
2000-04-13,-2.0408
2000-04-14,-16.6667
2000-04-17,20.0
2000-04-18,4.1667
2000-04-19,0.0
2000-04-20,-2.0
2000-04-24,-2.0408
2000-04-25,-8.3333
2000-04-26,2.2727
2000-04-27,11.1111
2000-04-28,2.0
2000-05-01,3.9215999999999998
2000-05-02,3.7736
2000-05-03,-5.4545
2000-05-04,-5.7692
2000-05-05,0.0
2000-05-08,2.0408
2000-05-09,12.0
2000-05-10,14.2857
2000-05-11,-1.5625
2000-05-12,-9.5238
2000-05-15,-5.2632
2000-05-16,1.8519
2000-05-17,0.0
2000-05-18,12.7273
2000-05-19,-9.6774
2000-05-22,0.0
2000-05-23,-5.3571
2000-05-24,-1.8868
