ticker,BSPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-23,0.0
2012-03-29,-90.0
2012-06-22,900.0
2012-06-25,0.0
2012-10-12,-93.3333
2012-10-19,-50.0
2013-11-18,0.0
2014-06-13,50.0
2014-06-18,0.0
2014-06-20,0.0
2014-06-25,-33.3333
2014-08-08,50.0
2014-09-29,-65.8333
2014-10-28,875.6098
2014-11-10,100.0
2014-11-26,0.0
2014-12-23,0.0
2015-04-01,-60.0
2015-04-10,100.0
2015-05-14,-25.0
2015-06-18,-16.6667
2015-09-15,-40.0
2015-09-21,0.0
2015-12-16,33.3333
2016-01-21,0.0
2016-02-04,-92.5
2016-02-05,1214.5833
2016-02-12,-36.6086
2016-02-17,63.25
2016-02-18,22.5115
2016-02-23,-16.125
2016-03-01,19.225
2016-03-04,-16.0
2016-06-02,7.1429
2016-09-30,-55.5556
2016-10-17,0.0
2016-11-14,0.0
2016-12-13,-25.0
2016-12-15,166.6667
2017-01-12,-30.7813
2017-01-18,8.3521
2017-01-31,-33.3333
2017-02-06,99.375
2017-02-07,-24.7649
2017-02-08,33.3333
2017-02-10,-2.5
2017-02-13,-23.0769
2017-02-14,0.0
2017-02-23,33.3333
2017-02-24,-22.5
2017-03-16,43.75
2017-04-11,-17.2511
2017-09-01,-15.9322
2017-11-27,0.0
2017-12-27,190.3226
2018-01-23,-87.7778
2018-05-22,5.4545
2018-10-02,29.3103
2018-12-28,-6.6667
2019-01-30,42.8571
2019-02-07,50.0
2019-02-15,-33.3333
2019-03-06,8.5
2019-07-15,-7.8341
2019-08-21,0.0
2019-10-08,-29.5
2019-10-23,-29.078
2019-10-25,0.0
2019-10-29,-9.0
2019-10-30,-12.0879
2020-02-20,25.0
2020-02-24,300.0
2020-02-25,-49.75
2020-04-03,108.9552
2020-05-04,-28.5714
2020-05-05,-30.0
2020-06-01,90.4762
2020-06-02,-50.0
2020-06-09,100.0
2020-07-01,-12.5
2020-07-28,-14.2857
2020-07-29,-30.0
2020-07-30,57.1429
