ticker,CNNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-08-25,10.0
2011-09-01,4.5455
2011-09-06,0.0
2011-09-07,8.6957
2011-09-22,0.0
2011-12-21,0.0
2012-01-05,40.0
2012-02-28,-57.7143
2012-02-29,21.6216
2012-03-01,5.5556
2012-03-02,26.3158
2012-03-05,-37.5
2012-03-06,248.6667
2012-03-07,-8.2218
2012-03-08,-71.6667
2012-03-09,-27.2059
2012-03-12,1.0101
2012-03-13,-9.875
2012-03-14,-10.1248
2012-03-15,-16.6667
2012-03-16,3.7037
2012-03-19,-4.4643
2012-03-20,-5.7943999999999996
2012-03-21,15.0794
2012-03-22,-17.2414
2012-03-23,-15.0
2012-03-26,-2.9412000000000003
2012-03-27,-15.1515
2012-03-28,-16.6667
2012-03-29,10.0
2012-03-30,-10.3896
2012-04-02,1.4493
2012-04-03,-5.7143
2012-04-04,-15.1515
2012-04-05,21.4286
2012-04-09,14.7059
2012-04-10,-2.5641
2012-04-11,-9.2105
2012-04-12,0.0
2012-04-13,-9.6014
2012-04-16,-11.8236
2012-04-17,6.1364
2012-04-18,-5.7816
2012-04-19,-1.8182
2012-04-20,0.0
2012-04-23,-11.1111
2012-04-24,4.1667
2012-04-25,-10.0
2012-04-26,0.0
2012-04-27,0.8333
2012-04-30,-1.3774
2012-05-01,-8.3799
2012-05-02,-14.6341
2012-05-03,-23.9286
2012-05-04,17.8404
2012-05-07,11.5538
2012-05-08,17.1429
2012-05-09,-7.3171
2012-05-10,-5.2632
2012-05-11,-5.5556
2012-05-14,-17.647100000000002
2012-05-15,10.7143
2012-05-16,-3.2258
2012-05-17,-10.0
2012-05-18,-18.5185
2012-05-21,27.2727
2012-05-22,16.5179
2012-05-23,0.0
2012-05-24,-26.4368
2012-05-25,12.5
2012-05-29,10.1852
2012-05-30,0.0
2012-05-31,-17.2269
2012-06-01,-4.0609
2012-06-04,-10.0529
2012-06-05,-13.5294
2012-06-06,21.0884
2012-06-07,9.5506
2012-06-08,-17.9487
2012-06-11,-11.875
2012-06-12,-7.8014
2012-06-13,-3.8462
2012-06-14,15.2
2012-06-15,0.0
2012-06-18,-11.1111
2012-06-19,0.0
2012-06-20,-6.25
2012-06-21,-20.0
2012-06-22,16.6667
2012-06-25,-28.5714
2012-06-26,0.0
2012-06-27,-2.5
2012-06-28,-15.3846
2012-06-29,1.5152
2012-07-02,16.4179
2012-07-03,30.7692
2012-07-05,-2.9412000000000003
2012-07-06,10.101
2012-07-09,0.9174
