ticker,PASO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-04,9.8039
2008-06-05,7.1429
2008-06-06,13.3333
2008-06-09,2.9412000000000003
2008-06-10,-7.1429
2008-06-11,0.0
2008-06-12,3.0769
2008-06-13,1.4925
2008-06-16,1.4706000000000001
2008-06-17,1.4493
2008-06-18,7.1429
2008-06-19,13.3333
2008-06-20,-5.8824
2008-06-23,6.25
2008-06-24,-5.8824
2008-06-25,0.0
2008-06-26,-6.25
2008-06-30,4.0
2008-07-01,2.5641
2008-07-02,0.0
2008-07-03,10.0
2008-07-07,10.2273
2008-07-08,-9.2784
2008-07-09,-17.0455
2008-07-10,10.9589
2008-07-11,-13.5802
2008-07-14,-20.0179
2008-07-15,-17.8388
2008-07-16,-4.3478
2008-07-17,6.8182
2008-07-18,23.4043
2008-07-21,10.3448
2008-07-22,1.5625
2008-07-23,-2.3077
2008-07-24,-5.5118
2008-07-25,4.1667
2008-07-28,2.4
2008-07-29,-3.125
2008-07-30,4.8387
2008-07-31,-4.6154
2008-08-01,1.6129
2008-08-04,-3.1746
2008-08-05,-1.6393
2008-08-06,-5.0
2008-08-07,-15.7895
2008-08-08,-12.5
2008-08-11,2.3810000000000002
2008-08-12,0.0
2008-08-13,-6.9767
2008-08-14,0.0
2008-08-15,10.0
2008-08-18,-6.8182
2008-08-19,7.3171
2008-08-20,-2.2727
2008-08-21,0.0
2008-08-22,-4.6512
2008-08-25,0.0
2008-08-26,-7.3171
2008-08-27,0.0
2008-08-28,2.6316
2008-08-29,0.0
2008-09-02,2.5641
2008-09-03,0.0
2008-09-04,-7.5
2008-09-05,-5.4054
2008-09-08,0.0
2008-09-09,-11.4286
2008-09-10,-22.5806
2008-09-11,4.1667
2008-09-12,0.0
2008-09-15,8.0
2008-09-16,-7.4074
2008-09-17,-4.0
2008-09-18,-16.6667
2008-09-19,0.0
2008-09-22,-10.0
2008-09-23,0.0
2008-09-24,11.0417
2008-09-25,-9.9437
2008-09-26,-22.2222
2008-09-29,21.3393
2008-09-30,-14.6431
2008-10-01,24.0517
2008-10-02,-19.3885
2008-10-06,0.0
2008-10-07,8.2759
2008-10-08,-9.5541
2008-10-09,0.0
2008-10-10,26.7606
2008-10-13,-16.6667
2008-10-14,20.0
2008-10-15,-11.1111
2008-10-16,-6.1719
2008-10-17,6.5779
2008-10-20,-18.75
2008-10-22,-23.0769
2008-10-23,-15.0
2008-10-24,-76.4706
2008-10-27,150.0
2008-10-28,5.0
2008-10-29,90.4762
