ticker,GHMP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-07-20,11512.9032
2011-07-21,0.0
2011-07-26,-11.1111
2011-08-15,20.0
2011-08-16,8.3333
2011-08-17,-2.8846
2011-08-18,4.9505
2011-08-19,-0.9434
2011-08-22,9.5238
2011-08-23,-6.087
2011-08-24,1.8519
2011-08-25,-3.6364
2011-08-26,-6.6038
2011-08-29,6.0606
2011-08-30,3.8095
2011-08-31,0.0
2011-09-01,1.8349
2011-09-02,-8.1081
2011-09-06,7.8431
2011-09-07,5.4545
2011-09-08,1.7241
2011-09-09,1.6949
2011-09-12,11.6667
2011-09-13,-2.2388
2011-09-14,4.5802
2011-09-15,-0.7299
2011-09-16,-17.647100000000002
2011-09-19,-7.1429
2011-09-20,-0.9615
2011-09-21,0.0
2011-09-22,1.9417
2011-09-23,0.0
2011-09-26,3.8095
2011-09-27,2.7523
2011-09-28,8.9286
2011-09-29,-13.1148
2011-09-30,4.717
2011-10-03,-1.8018
2011-10-04,2.7523
2011-10-05,0.0
2011-10-06,-2.6786
2011-10-07,3.6696999999999997
2011-10-10,0.0
2011-10-11,-0.885
2011-10-12,0.0893
2011-10-13,-2.7654
2011-10-14,-2.7523
2011-10-17,-5.6604
2011-10-18,-12.5
2011-10-19,-6.8571
2011-10-20,11.6564
2011-10-21,-2.1978
2011-10-24,-2.2472
2011-10-25,-4.5977
2011-10-26,0.0
2011-10-27,-2.4096
2011-10-28,-2.4691
2011-10-31,-0.6329
2011-11-01,-8.2803
2011-11-02,4.1667
2011-11-03,16.0
2011-11-04,2.8736
2011-11-07,10.6145
2011-11-08,9.0909
2011-11-09,-7.4074
2011-11-10,-3.5
2011-11-11,-0.5181
2011-11-14,-4.1667
2011-11-15,8.6957
2011-11-16,-8.0
2011-11-17,2.1739
2011-11-18,-2.1277
2011-11-21,-7.6087
2011-11-22,-4.7059
2011-11-23,8.642
2011-11-25,-6.8182
2011-11-28,-3.0488
2011-11-29,3.1447
2011-11-30,0.6098
2011-12-01,-2.4242
2011-12-02,1.2422
2011-12-05,-5.5215
2011-12-06,-2.5974
2011-12-07,-5.3333
2011-12-08,-4.6479
2011-12-09,4.8744
2011-12-12,11.9718
2011-12-13,4.4025
2011-12-14,-6.0241
2011-12-15,-4.4872
2011-12-16,-0.6711
2011-12-19,-3.9189
2011-12-20,5.2039
2011-12-21,-3.7433
2011-12-22,1.3889
2011-12-23,-4.7945
2011-12-27,-3.5971
2011-12-28,5.9701
2011-12-29,-6.338
