ticker,BKGM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-08-09,16.6667
2001-11-29,-20.0
2001-12-03,0.0
2002-01-16,9.2093
2002-02-12,3.0664
2002-06-24,7.7586
2002-07-08,-4.0
2002-07-11,0.0
2002-07-24,0.8333
2002-08-01,0.0
2002-08-29,-13.2231
2002-09-25,2.439
2002-10-11,4.7619
2002-10-22,-31.8182
2002-10-25,30.0
2002-11-19,-99.9974
2003-03-03,5599900.0
2003-05-14,-1.8182
2003-07-02,-5.6604
2003-07-21,-99.998
2003-07-24,4999900.0
2003-08-08,28.0
2003-09-24,-99.9984
2003-10-16,4799900.0
2003-10-27,0.0
2003-11-07,0.0
2004-01-05,-2.1277
2004-01-09,0.0
2004-01-15,4.3478
2004-03-04,8.3333
2004-03-11,1.9231
2004-04-12,0.0
2004-05-11,-6.1538
2004-05-21,6.5574
2004-06-01,-7.6923
2004-06-03,0.0
2004-06-04,0.0
2004-06-30,2.1277
2004-07-19,0.0
2004-08-02,0.0
2004-08-03,4.1667
2004-09-28,6.9388
2004-12-09,0.0
2004-12-13,1.9083999999999999
2005-01-05,-6.8702
2005-01-07,10.6557
2005-01-14,-3.7037
2005-01-31,7.6923
2005-03-07,-6.4286
2005-03-28,-1.9455
2005-04-04,3.1746
2005-04-19,7.6923
2005-05-02,0.0
2005-05-16,0.0
2005-07-25,5.4545
2005-07-28,0.0
2005-09-02,2.6207000000000003
2005-09-09,-2.5538
2005-09-12,0.0
2005-09-30,2.5965
2005-10-11,-0.1368
2006-02-14,4.5296
2006-04-24,1.6949
2006-04-26,0.6667
2006-05-15,9.2715
2006-05-17,0.6061
2006-06-13,70.1807
2006-06-14,-3.2143
2006-06-19,-25.4613
2006-07-25,4.9505
2006-08-08,-0.9434
2006-08-11,9.5238
2006-08-30,-2.1739
2006-09-01,0.0
2006-09-08,1.3333
2006-09-14,1.9956
2006-09-25,0.0
2006-10-05,0.0
2006-10-06,8.6957
2006-12-18,4.6465
2007-01-17,0.0
2007-02-14,0.3861
2007-02-28,0.0
2007-03-01,-1.9231
2007-03-09,5.8824
2007-03-21,4.1825
2007-03-23,2.1898
2007-03-28,1.7856999999999998
2007-03-29,0.0
2007-04-09,1.0526
2007-05-15,2.4306
2007-05-21,-1.6949
2007-06-04,1.3793
2007-06-06,2.0408
2007-06-20,0.8403
2007-07-09,5.6667
2007-07-16,-5.3628
2007-07-17,0.0
2007-07-19,-3.3333
2007-07-23,-3.4483
2007-07-25,21.4286
2007-07-30,-20.5882
