ticker,ONTRF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-03-13,50.0
2013-03-14,-10.0
2013-10-16,-25.9259
2014-07-10,0.0
2014-09-10,50.0
2014-09-11,0.0
2016-06-15,-99.9583
2017-06-21,60.0
2018-01-17,900.0
2018-04-09,-50.0
2018-04-10,0.0
2018-07-20,6900.0
2018-07-24,-98.5714
2018-11-14,890.0
2019-02-21,-74.7475
2019-03-07,100.0
2019-03-14,-96.0
2019-03-21,2400.0
2019-05-17,300.0
2019-08-21,150.0
2019-09-25,-88.0
2019-10-24,66.6667
2020-01-23,250.0
2020-01-24,-2.8571
2020-02-28,0.0
2020-03-12,0.0
2020-03-16,0.0
2020-03-19,0.0
2020-04-20,-11.7647
2020-04-24,13.3333
2020-04-30,-70.5882
2020-05-07,0.0
2020-05-12,250.0
2020-05-20,-92.8571
2020-07-07,5300.0
2020-07-08,-98.0741
