ticker,INMB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-04,-0.125
2019-02-05,-2.6183
2019-02-06,-0.383
2019-02-07,-2.4319
2019-02-08,4.6955
2019-02-11,-2.8746
2019-02-12,0.13
2019-02-13,-4.1558
2019-02-14,-0.3604
2019-02-15,-1.4402
2019-02-19,2.5181
2019-02-20,6.0565
2019-02-21,0.2538
2019-02-22,3.7975
2019-02-25,-0.7317
2019-02-26,-2.2113
2019-02-27,-2.0101
2019-02-28,2.3077
2019-03-01,-2.2556
2019-03-04,-3.2051
2019-03-05,0.3974
2019-03-06,-1.0554
2019-03-07,0.6667
2019-03-08,-0.0013
2019-03-11,-0.6609
2019-03-12,0.1333
2019-03-13,-0.1332
2019-03-14,4.0
2019-03-15,-9.2308
2019-03-18,9.1808
2019-03-19,2.8461
2019-03-20,-0.5031
2019-03-21,0.2023
2019-03-22,0.8706
2019-03-25,1.5497
2019-03-26,-1.4645000000000001
2019-03-28,-0.625
2019-03-29,-1.2579
2019-04-01,-5.0955
2019-04-02,1.0644
2019-04-03,3.5568
2019-04-04,-1.8866
2019-04-05,2.0915
2019-04-08,10.1152
2019-04-09,21.3953
2019-04-10,0.5613
2019-04-11,-2.8499
2019-04-12,-5.9151
2019-04-15,7.9772
2019-04-16,0.8522
2019-04-17,-3.0661
2019-04-18,-0.7108
2019-04-22,6.8625
2019-04-23,-0.4699
2019-04-24,-3.2551
2019-04-25,2.4254
2019-04-26,-1.8868
2019-04-29,-0.9375
2019-04-30,3.0294
2019-05-01,1.5582
2019-05-02,1.577
2019-05-03,-2.1918
2019-05-06,-1.9607999999999999
2019-05-07,2.3810000000000002
2019-05-08,-0.9023
2019-05-09,3.2573
2019-05-10,-0.6364
2019-05-13,-0.0915
2019-05-14,0.641
2019-05-15,-1.1829
2019-05-16,-1.0129
2019-05-17,0.6512
2019-05-20,-12.2921
2019-05-21,1.6238000000000001
2019-05-22,10.9487
2019-05-23,-1.4888
2019-05-24,2.4695
2019-05-28,-1.9535
2019-05-29,-1.0387
2019-05-30,-0.7634
2019-05-31,-1.4423
2019-06-03,0.9756
2019-06-04,-0.7623
2019-06-05,1.8391
2019-06-06,-1.5295999999999998
2019-06-07,-0.2913
2019-06-10,-0.5842
2019-06-11,5.093
2019-06-12,-3.3551
2019-06-13,1.0608
2019-06-14,-0.5725
2019-06-17,-0.6718
2019-06-18,0.6667
2019-06-19,-0.4703
2019-06-20,-3.568
2019-06-21,-1.5
2019-06-24,-6.5482
