ticker,VCNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-09,-5.1667
2018-08-10,1.0545
2018-08-13,-1.1304
2018-08-14,1.1434
2018-08-15,1.2174
2018-08-16,-1.2887
2018-08-17,0.087
2018-08-20,-1.5652
2018-08-21,-2.7385
2018-08-22,-0.0908
2018-08-23,-0.4545
2018-08-24,-5.2055
2018-08-27,0.0
2018-08-28,-11.2717
2018-08-29,10.3149
2018-08-30,-0.7776
2018-08-31,-0.9027
2018-09-04,3.6036
2018-09-05,-3.3816
2018-09-06,-0.3
2018-09-07,-1.4042
2018-09-10,2.238
2018-09-11,0.0
2018-09-12,-6.7661999999999995
2018-09-13,1.8677000000000001
2018-09-14,-5.7097999999999995
2018-09-17,-2.3333
2018-09-18,14.3345
2018-09-19,-12.9353
2018-09-20,1.7143000000000002
2018-09-21,-8.0899
2018-09-24,-6.1125
2018-09-25,-5.2083
2018-09-26,-3.1593
2018-09-27,-1.4184
2018-09-28,4.8921
2018-10-01,-5.0754
2018-10-02,-0.289
2018-10-03,3.1884
2018-10-04,-2.809
2018-10-05,-0.7225
2018-10-08,0.8734
2018-10-09,-0.5772
2018-10-10,-1.5965
2018-10-11,-3.3909000000000002
2018-10-12,-4.1892
2018-10-16,-2.481
2018-10-17,2.1242
2018-10-18,12.0
2018-10-19,0.0
2018-10-22,-10.7143
2018-10-23,3.0416
2018-10-24,-1.399
2018-10-25,-1.5748
2018-10-26,-3.2
2018-10-29,4.9587
2018-10-30,-4.4094
2018-10-31,-1.1532
2018-11-01,0.0
2018-11-02,8.3333
2018-11-05,-3.0769
2018-11-06,4.3651
2018-11-07,-4.943
2018-11-08,-1.92
2018-11-09,-0.6525
2018-11-12,0.9852
2018-11-13,6.0163
2018-11-14,-4.1396
2018-11-15,-0.8016
2018-11-16,2.3758
2018-11-19,-3.0407
2018-11-20,-7.0569
2018-11-21,4.8951
2018-11-23,-8.0
2018-11-26,-1.9928
2018-11-27,4.0665
2018-11-28,-6.2167
2018-11-29,4.7348
2018-11-30,1.085
2018-12-03,4.5617
2018-12-04,-0.0855
2018-12-06,-3.0822
2018-12-10,-7.2438
2018-12-11,0.0
2018-12-12,-12.381
2018-12-13,2.6087
2018-12-14,-2.5423999999999998
2018-12-17,0.0
2018-12-18,2.6522
2018-12-19,0.9657
2018-12-20,-8.1299
2018-12-21,2.7397
2018-12-24,-8.8867
2018-12-26,-1.4658
2018-12-27,-2.4752
2018-12-28,-3.5533
2018-12-31,-4.0842
