ticker,NTWB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-05-02,-42.1277
2000-05-03,-11.7647
2000-05-05,53.3333
2000-05-08,-1.087
2000-05-10,3.2967
2000-05-16,-29.7872
2000-05-19,42.4242
2000-08-30,-22.3602
2000-09-11,0.0
2000-09-25,31.4286
