ticker,ZCOM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.5873
2000-01-04,-4.6875
2000-01-05,3.2787
2000-01-06,4.7619
2000-01-07,-3.0303
2000-01-10,6.25
2000-01-11,-23.5294
2000-01-12,19.2308
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,3.2258
2000-01-19,0.0
2000-01-20,9.375
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,-8.5714
2000-01-26,10.9375
2000-01-27,1.4085
2000-01-28,2.7778
2000-01-31,0.0
2000-02-01,0.0
2000-02-02,5.4054
2000-02-03,0.0
2000-02-04,-2.5641
2000-02-07,-2.6316
2000-02-08,-6.7568
2000-02-09,1.4493
2000-02-10,-8.5714
2000-02-11,6.25
2000-02-14,0.0
2000-02-15,2.9412000000000003
2000-02-16,-2.8571
2000-02-17,-5.8824
2000-02-18,7.8125
2000-02-22,1.4493
2000-02-23,1.4285999999999999
2000-02-24,4.2254
2000-02-25,2.7027
2000-02-28,-5.2632
2000-02-29,8.3333
2000-03-01,-1.2821
2000-03-02,35.0649
2000-03-03,7.6923
2000-03-06,-0.8929
2000-03-07,-13.5135
2000-03-08,41.6667
2000-03-09,-19.1176
2000-03-10,1.8182
2000-03-13,-1.7856999999999998
2000-03-14,1.8182
2000-03-15,-8.9286
2000-03-16,1.9607999999999999
2000-03-17,6.7308
2000-03-20,-4.5045
2000-03-21,-3.7736
2000-03-22,-3.9215999999999998
2000-03-23,-4.0816
2000-03-24,-10.6383
2000-03-27,-4.7619
2000-03-28,5.0
2000-03-29,14.2857
2000-03-30,4.1667
2000-03-31,-4.0
2000-04-03,2.0833
2000-04-04,-3.0612
2000-04-05,-3.1579
2000-04-06,0.0
2000-04-07,-8.6957
2000-04-10,-4.7619
2000-04-11,13.75
2000-04-13,0.0
2000-04-14,-16.4835
2000-04-17,-5.2632
2000-04-18,19.4444
2000-04-19,-20.9302
2000-04-20,-5.8824
2000-04-24,-3.125
2000-04-25,0.0
2000-04-26,14.5161
2000-04-27,-2.8169
2000-04-28,-4.3478
2000-05-01,-1.5152
2000-05-02,10.7692
2000-05-03,-11.1111
2000-05-04,0.0
2000-05-05,9.375
2000-05-08,8.5714
2000-05-09,14.473700000000001
2000-05-10,-17.2414
2000-05-11,-4.1667
2000-05-15,13.0435
2000-05-16,-12.8205
2000-05-17,1.4706000000000001
2000-05-18,-4.3478
2000-05-19,0.7576
2000-05-22,0.0
2000-05-23,-3.7594
2000-05-24,-3.125
2000-05-25,3.2258
